"","id","age","sex"
"1",1,1.8795,"Male"
"2",2,2.0658,"Male"
"3",3,2.8,"Female"
"4",4,1.9068,"Female"
"5",5,3.4301,"Female"
"6",6,2.1808,"Female"
"7",7,1.2849,"Female"
"8",8,1.9699,"Female"
"9",9,1.7753,"Female"
"10",10,2.5096,"Male"
"11",11,1.337,"Male"
"12",12,2.1068,"Female"
"13",13,1.9808,"Female"
"14",14,0.98082,"Female"
"15",15,2.5123,"Female"
"16",16,3.8712,"Female"
"17",17,2.9781,"Male"
"18",18,3.5288,"Female"
"19",19,1.3616,"Male"
"20",20,3.8055,"Female"
"21",21,3.9178,"Female"
"22",22,2.1425,"Male"
"23",23,1.4192,"Male"
"24",24,2.4164,"Male"
"25",25,2.6,"Female"
"26",26,3.4329,"Female"
"27",27,1.8548,"Male"
"28",28,3.5863,"Male"
"29",29,1.8767,"Male"
"30",30,1.3342,"Male"
"31",31,2.6603,"Male"
"32",32,1.6548,"Male"
"33",33,2.1644,"Male"
"34",34,2.4548,"Female"
"35",35,2.0247,"Male"
"36",36,2.3644,"Female"
"37",37,2.0137,"Male"
"38",38,1.2438,"Male"
"39",39,1.1452,"Female"
"40",40,2.411,"Male"
"41",41,1.4603,"Male"
"42",42,1.5151,"Male"
"43",43,1.8548,"Male"
"44",44,3.8712,"Male"
"45",45,3.0082,"Male"
"46",46,3.9562,"Male"
"47",47,3.6795,"Male"
"48",48,3.0822,"Male"
"49",49,2.9178,"Female"
"50",50,2.337,"Male"
"51",51,1.9918,"Female"
"52",52,3.4192,"Female"
"53",53,1.2521,"Male"
"54",54,2.9973,"Male"
"55",55,3.2685,"Female"
"56",56,1.274,"Male"
"57",57,1.4137,"Male"
"58",58,2.9205,"Male"
"59",59,1.4438,"Male"
"60",60,1.4521,"Male"
"61",61,2.8219,"Male"
"62",62,3.8082,"Female"
"63",63,2.0795,"Male"
"64",64,2.1342,"Male"
"65",65,2.8274,"Male"
"66",66,2.3863,"Female"
"67",67,3.8055,"Male"
"68",68,2.1096,"Male"
"69",69,2.6027,"Male"
"70",70,4.0137,"Male"
"71",71,2.1616,"Male"
"72",72,3.126,"Male"
"73",73,2.0027,"Female"
"74",74,1.0685,"Female"
"75",75,3.5507,"Male"
"76",76,2.2877,"Female"
"77",77,2.2877,"Male"
"78",78,1.9534,"Female"
"79",79,2.0027,"Male"
"80",80,3.4301,"Female"
"81",81,1.4849,"Male"
"82",82,1.6932,"Male"
"83",83,1.6795,"Female"
"84",84,2.8466,"Female"
"85",85,1.474,"Male"
"86",86,2.2164,"Female"
"87",87,1.0493,"Female"
"88",88,1.3753,"Male"
"89",89,3.063,"Female"
"90",90,2.663,"Female"
"91",91,2.6356,"Female"
"92",92,1.4712,"Male"
"93",93,1.1616,"Male"
"94",94,4.2384,"Male"
"95",95,2.0384,"Female"
"96",96,2.2219,"Male"
"97",97,2.7781,"Male"
"98",98,3.063,"Female"
"99",99,2.3178,"Female"
"100",100,3.011,"Female"
"101",101,3.0027,"Male"
"102",102,2.0712,"Male"
"103",103,2.2411,"Female"
"104",104,2.0384,"Male"
"105",105,2.8301,"Female"
"106",106,2.2384,"Male"
"107",107,2.7726,"Female"
"108",108,3.6603,"Female"
"109",109,3.6329,"Female"
"110",110,3.1671,"Female"
"111",111,2.2575,"Male"
"112",112,2.7205,"Female"
"113",113,2.1616,"Male"
"114",114,2.0055,"Male"
"115",115,2.3808,"Male"
"116",116,3.6575,"Female"
"117",117,2.2411,"Male"
"118",118,3.1918,"Male"
"119",119,3.5863,"Female"
"120",120,3.6,"Male"
"121",121,3.7425,"Male"
"122",122,4.8877,"Male"
"123",123,1.8192,"Male"
"124",124,2.663,"Male"
"125",125,2.5288,"Male"
"126",126,1.411,"Female"
"127",127,1.0658,"Female"
"128",128,1.3699,"Female"
"129",129,2.2247,"Female"
"130",130,2.9096,"Male"
"131",131,1.8164,"Male"
"132",132,2.5151,"Male"
"133",133,3.7808,"Female"
"134",134,3.7918,"Male"
"135",135,1.2877,"Male"
"136",136,2.4411,"Female"
"137",137,1.1288,"Male"
"138",138,2.7671,"Male"
"139",139,3.6384,"Female"
"140",140,1.6301,"Male"
"141",141,1.6493,"Male"
"142",142,1.4055,"Female"
"143",143,2.5699,"Male"
"144",144,1.3425,"Male"
"145",145,3.3781,"Male"
"146",146,1.8247,"Male"
"147",147,3.9644,"Male"
"148",148,2.4356,"Male"
"149",149,3.5233,"Male"
"150",150,2.2986,"Male"
"151",151,2.7397,"Male"
