subject_id,lab_subject_id,age,sex
259,052212_10,4.27,Male
260,052212_11,4.74,Female
261,052212_12,4.38,Female
262,052212_13,2.59,Male
0,052212_2,2.46,Female
263,052212_4,2.27,Male
264,052212_5,4.41,Female
265,052212_6,2.17,Male
266,052212_7,3.39,Male
267,052212_8,4.11,Male
268,052312_1,3.37,Male
269,052312_10,4.3,Male
270,052312_11,4.66,Female
271,052312_13,3.84,Male
272,052312_2,2.11,Male
273,052312_4,4.77,Female
274,052312_5,6.53,Female
275,052312_6,3.98,Female
276,052312_7,4.52,Female
277,052312_8,5.73,Male
278,052312_9,5.25,Male
279,060512_10,5.75,Male
280,060512_11,3.55,Female
281,060512_2,1.97,Male
282,060512_4,6.98,Male
283,060512_5,2.91,Female
284,060512_6,4.72,Female
285,060512_7,3.47,Female
286,060512_8,2.82,Female
287,060512_9,5.37,Male
288,060612_1,4.46,Male
289,060612_11,4.5,Female
290,060612_12,4.85,Male
291,060612_2,5.41,Female
292,060612_3,2.01,Female
293,060612_5,3.61,Male
294,060612_6,3.87,Female
295,060612_7,3.29,Male
296,060612_8,1.83,Male
297,061212_1,3.12,Male
298,061212_10,3.87,Male
299,061212_11,2.48,Male
300,061212_12,2.7,Female
301,061212_13,6.05,Female
302,061212_14,5.09,Male
303,061212_2,5.15,Female
304,061212_3,4.11,Male
305,061212_5,3.78,Female
306,061212_7,4.24,Female
307,061212_8,4.15,Male
308,061212_9,6.6,Female
309,061312_10,3.28,Male
310,061312_11,4.88,Female
311,061312_2,5.61,Female
312,061312_3,3.49,Female
313,061312_5,4.4,Male
314,061312_6,3.5,Female
315,061312_7,5.74,Male
316,061312_8,3.51,Male
317,061312_9,3.82,Female
318,062512_001,2.81,Male
319,062512_003,1.8,Female
322,062612_004,3.21,Male
320,062512_010,1.08,Male
321,062512_011,3.43,Female
323,062612_008,1.24,Female
324,062612_01,2.12,Female
325,062612_03,2.73,Male
326,062612_05,3.7,Male
327,062612_07,2.81,Female
328,062612_08,3.33,Female
329,062612_09,1.54,Female
330,062612_10,3.25,Male
331,062612_11,2.81,Female
332,062612_12,2.22,Female
333,062612_12 (1),3.52,Male
334,062612_13,2.56,Female
335,062612_14,2.02,Female
336,062612_16,4,Female
337,062612_17,3.17,Male
338,062612_19,2.73,Female
339,062612_20,1.35,Female
340,062712_01,1.52,NA
341,062812_01,2.33,Male
342,062812_03,3.48,Male
343,062812_04,1.26,Female
344,062812_06,1.94,Female
345,062812_07,2.79,Female
346,062812_08,1.41,Male
1,070312_02,2.26,Female
2,070312_05,4.32,Male
3,070312_07,3.14,Female
4,070312_08,1.95,Male
5,070312_09,2.26,Female
6,070312_10 (1),1.15,Male
7,070312_11,4.56,Male
8,070512_02,3.65,Male
9,070512_03,2.4,Female
10,070512_04,2.5,Male
11,070512_05,3.46,Female
12,070512_07,4.13,Female
