trial_id,dataset,target_image,distracter_image,target_side,target_label,distracter_label,full_phrase,point_of_disambig
0,0,dog,book,right,dog,book,NA,1857
1,0,toma,fep,right,toma,fep,NA,1873
2,0,clock,frog,left,clock,frog,NA,1882
3,0,fep,toma,right,fep,toma,NA,1816
4,0,car,dog,right,car,dog,NA,1904
5,0,toma,fep,left,toma,fep,NA,1786
6,0,frog,carrot,left,frog,carrot,NA,1816
7,0,fep,toma,left,fep,toma,NA,1908
8,0,carrot,lamp,right,carrot,lamp,NA,1781
9,0,fep,toma,left,fep,toma,NA,1908
10,0,lamp,clock,right,lamp,clock,NA,1893
11,0,toma,fep,left,toma,fep,NA,1786
12,0,banana,car,left,banana,car,NA,1901
13,0,fep,toma,right,fep,toma,NA,1816
14,0,book,banana,left,book,banana,NA,1868
15,0,toma,fep,right,toma,fep,NA,1873
