## [BeGaze]
## Converted from:	C:\Users\Langcog Admin\Desktop\RefLook\Reflook 4\Reflook4 CDM data 0703-0719\070312_01-eye_data.idf
## Date:	03.07.2012 17:32:14
## Version:	BeGaze 3.1.134
## IDF Version:	9
## Sample Rate:	120
## Separator Type:	Msg
## Trial Count:	1
## Uses Plane File:	False
## Number of Samples:	1923
## Reversed:	none
## [Run]
## Subject:	070312_01
## Description:	Run1
## [Calibration]
## Calibration Type:	2-point
## Calibration Area:	1680	1050
## Calibration Point 0:	Position(840;525)
## Calibration Point 1:	Position(420;105)
## Calibration Point 2:	Position(1512;262)
## Calibration Point 3:	Position(1260;945)
## Calibration Point 4:	Position(167;787)
## [Geometry]
## Stimulus Dimension [mm]:	474	297
## Head Distance [mm]:	700
## [Hardware Setup]
## System ID:	IVR-X-1040-05197-SMU
## Operating System :	5.1
## IView X Version:	2.7.13
## [Filter Settings]
## Heuristics:	False
## Heuristics Stage:	0
## Bilateral:	True
## Gaze Cursor Filter:	True
## Saccade Length [px]:	80
## Filter Depth [ms]:	20
## Format:	LEFT, RIGHT, POR
##
Time,Type,Trial,L POR X [px],L POR Y [px],R POR X [px],R POR Y [px],Stimulus
2685786377,SMP,1,0.00,0.00,0.00,0.00,-
2685811437,SMP,1,0.00,0.00,0.00,0.00,-
2685819740,SMP,1,0.00,0.00,0.00,0.00,-
2685827997,SMP,1,0.00,0.00,0.00,0.00,-
2685836532,SMP,1,0.00,0.00,0.00,0.00,-
2685844755,SMP,1,0.00,0.00,0.00,0.00,-
2685853151,SMP,1,0.00,0.00,0.00,0.00,-
2685861352,SMP,1,0.00,0.00,0.00,0.00,-
2685869712,SMP,1,0.00,0.00,0.00,0.00,-
2685878888,SMP,1,0.00,0.00,0.00,0.00,-
2685886512,SMP,1,0.00,0.00,0.00,0.00,-
2685894718,SMP,1,0.00,0.00,0.00,0.00,-
2685903093,SMP,1,0.00,0.00,0.00,0.00,-
2685911493,SMP,1,0.00,0.00,0.00,0.00,-
2685919786,SMP,1,0.00,0.00,0.00,0.00,-
2685944898,SMP,1,0.00,0.00,0.00,0.00,-
2685953137,SMP,1,0.00,0.00,0.00,0.00,-
2685961498,SMP,1,0.00,0.00,0.00,0.00,-
2685969835,SMP,1,0.00,0.00,0.00,0.00,-
2685978782,SMP,1,0.00,0.00,0.00,0.00,-
2685986596,SMP,1,0.00,0.00,0.00,0.00,-
2685994811,SMP,1,0.00,0.00,0.00,0.00,-
2686003231,SMP,1,0.00,0.00,0.00,0.00,-
2686011486,SMP,1,0.00,0.00,0.00,0.00,-
2686019906,SMP,1,0.00,0.00,0.00,0.00,-
2686028222,SMP,1,0.00,0.00,0.00,0.00,-
2686036746,SMP,1,0.00,0.00,0.00,0.00,-
2686044867,SMP,1,0.00,0.00,0.00,0.00,-
2686053280,SMP,1,0.00,0.00,0.00,0.00,-
2686061588,SMP,1,0.00,0.00,0.00,0.00,-
2686069955,SMP,1,0.00,0.00,0.00,0.00,-
2686078176,SMP,1,0.00,0.00,0.00,0.00,-
2686094973,SMP,1,0.00,0.00,0.00,0.00,-
2686103362,SMP,1,0.00,0.00,0.00,0.00,-
2686111609,SMP,1,0.00,0.00,0.00,0.00,-
2686119962,SMP,1,0.00,0.00,0.00,0.00,-
2686128369,SMP,1,0.00,0.00,0.00,0.00,-
2686136682,SMP,1,0.00,0.00,0.00,0.00,-
2686144957,SMP,1,0.00,0.00,0.00,0.00,-
2686153378,SMP,1,0.00,0.00,0.00,0.00,-
2686161774,SMP,1,0.00,0.00,0.00,0.00,-
2686169993,SMP,1,0.00,0.00,0.00,0.00,-
2686178424,SMP,1,0.00,0.00,0.00,0.00,-
2686186696,SMP,1,0.00,0.00,0.00,0.00,-
2686195171,SMP,1,0.00,0.00,0.00,0.00,-
2686203347,SMP,1,0.00,0.00,0.00,0.00,-
2686211728,SMP,1,0.00,0.00,0.00,0.00,-
2686220239,SMP,1,0.00,0.00,0.00,0.00,-
2686228497,SMP,1,0.00,0.00,0.00,0.00,-
2686236675,SMP,1,0.00,0.00,0.00,0.00,-
2686245130,SMP,1,0.00,0.00,0.00,0.00,-
2686253491,SMP,1,0.00,0.00,0.00,0.00,-
2686261789,SMP,1,0.00,0.00,0.00,0.00,-
2686270082,SMP,1,0.00,0.00,0.00,0.00,-
2686278479,SMP,1,0.00,0.00,0.00,0.00,-
2686286822,SMP,1,0.00,0.00,0.00,0.00,-
2686295172,SMP,1,0.00,0.00,0.00,0.00,-
2686303476,SMP,1,0.00,0.00,0.00,0.00,-
2686311838,SMP,1,0.00,0.00,0.00,0.00,-
2686320242,SMP,1,0.00,0.00,0.00,0.00,-
2686328503,SMP,1,0.00,0.00,0.00,0.00,-
2686336834,SMP,1,0.00,0.00,0.00,0.00,-
2686345180,SMP,1,0.00,0.00,0.00,0.00,-
2686353607,SMP,1,0.00,0.00,0.00,0.00,-
2686361884,SMP,1,0.00,0.00,0.00,0.00,-
2686370204,SMP,1,0.00,0.00,0.00,0.00,-
2686378588,SMP,1,0.00,0.00,0.00,0.00,-
2686386978,SMP,1,0.00,0.00,0.00,0.00,-
2686395221,SMP,1,0.00,0.00,0.00,0.00,-
2686403613,SMP,1,0.00,0.00,0.00,0.00,-
2686411997,SMP,1,0.00,0.00,0.00,0.00,-
2686420293,SMP,1,0.00,0.00,0.00,0.00,-
2686428607,SMP,1,0.00,0.00,0.00,0.00,-
2686436948,SMP,1,0.00,0.00,0.00,0.00,-
2686445346,SMP,1,0.00,0.00,0.00,0.00,-
2686453613,SMP,1,0.00,0.00,0.00,0.00,-
2686461951,SMP,1,0.00,0.00,0.00,0.00,-
2686470298,SMP,1,0.00,0.00,0.00,0.00,-
2686478749,SMP,1,0.00,0.00,0.00,0.00,-
2686486983,SMP,1,0.00,0.00,0.00,0.00,-
2686495359,SMP,1,0.00,0.00,0.00,0.00,-
2686503717,SMP,1,0.00,0.00,0.00,0.00,-
2686512076,SMP,1,0.00,0.00,0.00,0.00,-
2686520326,SMP,1,0.00,0.00,0.00,0.00,-
2686528713,SMP,1,0.00,0.00,0.00,0.00,-
2686537087,SMP,1,0.00,0.00,0.00,0.00,-
2686545340,SMP,1,0.00,0.00,0.00,0.00,-
2686553729,SMP,1,0.00,0.00,0.00,0.00,-
2686562056,SMP,1,0.00,0.00,0.00,0.00,-
2686570452,SMP,1,0.00,0.00,0.00,0.00,-
2686578716,SMP,1,0.00,0.00,0.00,0.00,-
2686587097,SMP,1,0.00,0.00,0.00,0.00,-
2686595513,SMP,1,0.00,0.00,0.00,0.00,-
2686603853,SMP,1,0.00,0.00,0.00,0.00,-
2686612063,SMP,1,0.00,0.00,0.00,0.00,-
2686620477,SMP,1,0.00,0.00,0.00,0.00,-
2686628860,SMP,1,0.00,0.00,0.00,0.00,-
2686637195,SMP,1,0.00,0.00,0.00,0.00,-
2686645494,SMP,1,0.00,0.00,0.00,0.00,-
2686653852,SMP,1,0.00,0.00,0.00,0.00,-
2686662254,SMP,1,0.00,0.00,0.00,0.00,-
2686670463,SMP,1,0.00,0.00,0.00,0.00,-
2686678871,SMP,1,0.00,0.00,0.00,0.00,-
2686687205,SMP,1,0.00,0.00,0.00,0.00,-
2686695576,SMP,1,0.00,0.00,0.00,0.00,-
2686703797,SMP,1,0.00,0.00,0.00,0.00,-
2686712202,SMP,1,0.00,0.00,0.00,0.00,-
2686720602,SMP,1,0.00,0.00,0.00,0.00,-
2686729002,SMP,1,0.00,0.00,0.00,0.00,-
2686737232,SMP,1,0.00,0.00,0.00,0.00,-
2686745533,SMP,1,0.00,0.00,0.00,0.00,-
2686753983,SMP,1,0.00,0.00,0.00,0.00,-
2686762375,SMP,1,0.00,0.00,0.00,0.00,-
2686770555,SMP,1,0.00,0.00,0.00,0.00,-
2686778946,SMP,1,0.00,0.00,0.00,0.00,-
2686787573,SMP,1,0.00,0.00,0.00,0.00,-
2686795691,SMP,1,0.00,0.00,0.00,0.00,-
2686803965,SMP,1,0.00,0.00,0.00,0.00,-
2686812337,SMP,1,0.00,0.00,0.00,0.00,-
