## [BeGaze]
## Converted from:	C:\Users\Langcog Admin\Desktop\RefLook\Reflook 4\Reflook4 CDM data 0703-0719\070312_02-eye_data.idf
## Date:	03.07.2012 17:46:00
## Version:	BeGaze 3.1.134
## IDF Version:	9
## Sample Rate:	120
## Separator Type:	Msg
## Trial Count:	1
## Uses Plane File:	False
## Number of Samples:	1221
## Reversed:	none
## [Run]
## Subject:	070312_02
## Description:	Run2
## [Calibration]
## Calibration Type:	2-point
## Calibration Area:	1680	1050
## Calibration Point 0:	Position(335;210)
## Calibration Point 1:	Position(1343;840)
## [Geometry]
## Stimulus Dimension [mm]:	474	297
## Head Distance [mm]:	700
## [Hardware Setup]
## System ID:	IVR-X-1040-05197-SMU
## Operating System :	5.1
## IView X Version:	2.7.13
## [Filter Settings]
## Heuristics:	False
## Heuristics Stage:	0
## Bilateral:	True
## Gaze Cursor Filter:	True
## Saccade Length [px]:	80
## Filter Depth [ms]:	20
## Format:	LEFT, RIGHT, POR
##
Time,Type,Trial,L POR X [px],L POR Y [px],R POR X [px],R POR Y [px],Stimulus
3510104937,SMP,1,0.00,0.00,0.00,0.00,-
3510113279,SMP,1,0.00,0.00,0.00,0.00,-
3510121654,SMP,1,0.00,0.00,0.00,0.00,-
3510129901,SMP,1,0.00,0.00,0.00,0.00,-
3510138349,SMP,1,0.00,0.00,0.00,0.00,-
3510146625,SMP,1,0.00,0.00,0.00,0.00,-
3510154855,SMP,1,0.00,0.00,0.00,0.00,-
3510163431,SMP,1,0.00,0.00,0.00,0.00,-
3510171683,SMP,1,0.00,0.00,0.00,0.00,-
3510180037,SMP,1,0.00,0.00,0.00,0.00,-
3510188297,SMP,1,0.00,0.00,0.00,0.00,-
3510196647,SMP,1,0.00,0.00,0.00,0.00,-
3510205060,SMP,1,0.00,0.00,0.00,0.00,-
3510213443,SMP,1,0.00,0.00,0.00,0.00,-
3510221676,SMP,1,0.00,0.00,0.00,0.00,-
3510230524,SMP,1,0.00,0.00,0.00,0.00,-
3510238431,SMP,1,0.00,0.00,0.00,0.00,-
3510246807,SMP,1,0.00,0.00,0.00,0.00,-
3510255019,SMP,1,0.00,0.00,0.00,0.00,-
3510263469,SMP,1,0.00,0.00,0.00,0.00,-
3510271781,SMP,1,0.00,0.00,0.00,0.00,-
3510280036,SMP,1,0.00,0.00,0.00,0.00,-
3510288417,SMP,1,0.00,0.00,0.00,0.00,-
3510296802,SMP,1,0.00,0.00,0.00,0.00,-
3510305181,SMP,1,0.00,0.00,0.00,0.00,-
3510313500,SMP,1,0.00,0.00,0.00,0.00,-
3510321784,SMP,1,0.00,0.00,0.00,0.00,-
3510330130,SMP,1,0.00,0.00,0.00,0.00,-
3510338669,SMP,1,0.00,0.00,0.00,0.00,-
3510346797,SMP,1,0.00,0.00,0.00,0.00,-
3510355135,SMP,1,0.00,0.00,0.00,0.00,-
3510363530,SMP,1,0.00,0.00,0.00,0.00,-
3510371920,SMP,1,0.00,0.00,0.00,0.00,-
3510380164,SMP,1,0.00,0.00,0.00,0.00,-
3510388539,SMP,1,0.00,0.00,0.00,0.00,-
3510396871,SMP,1,0.00,0.00,0.00,0.00,-
3510405170,SMP,1,0.00,0.00,0.00,0.00,-
