## [BeGaze]
## Converted from:	C:\Users\Langcog Admin\Desktop\RefLook\Reflook 4\Reflook4 CDM data 0703-0719\070912_02.idf
## Date:	09.07.2012 18:03:20
## Version:	BeGaze 3.1.134
## IDF Version:	9
## Sample Rate:	120
## Separator Type:	Unknown
## Trial Count:	0
## Uses Plane File:	False
## Number of Samples:	3267
## Reversed:	none
## [Run]
## Subject:	070912_02
## Description:	Run28
## [Calibration]
## Calibration Type:	2-point
## Calibration Area:	1680	1050
## Calibration Point 0:	Position(335;210)
## Calibration Point 1:	Position(1343;840)
## [Geometry]
## Stimulus Dimension [mm]:	474	297
## Head Distance [mm]:	700
## [Hardware Setup]
## System ID:	IVR-X-1040-05197-SMU
## Operating System :	5.1
## IView X Version:	2.7.13
## [Filter Settings]
## Heuristics:	False
## Heuristics Stage:	0
## Bilateral:	True
## Gaze Cursor Filter:	True
## Saccade Length [px]:	80
## Filter Depth [ms]:	20
## Format:	LEFT, RIGHT, POR
##
Time,Type,Trial,L POR X [px],L POR Y [px],R POR X [px],R POR Y [px],Stimulus
1965337137,SMP,1,0.00,0.00,0.00,0.00,-
1965387300,SMP,1,0.00,0.00,0.00,0.00,-
1965437249,SMP,1,0.00,0.00,0.00,0.00,-
1965487360,SMP,1,0.00,0.00,0.00,0.00,-
1965537437,SMP,1,0.00,0.00,0.00,0.00,-
1965587328,SMP,1,0.00,0.00,0.00,0.00,-
1965660264,SMP,1,844.79,816.10,844.79,816.10,-
1965668258,SMP,1,833.73,829.18,833.73,829.18,-
1965676634,SMP,1,841.91,830.39,841.91,830.39,-
1965685015,SMP,1,840.88,824.84,840.88,824.84,-
1965693387,SMP,1,838.38,835.00,838.38,835.00,-
1965701652,SMP,1,838.68,828.99,838.68,828.99,-
1965709955,SMP,1,837.32,826.54,837.32,826.54,-
1965718402,SMP,1,838.70,827.20,838.70,827.20,-
1965726741,SMP,1,841.69,829.50,841.69,829.50,-
1965735039,SMP,1,833.04,828.14,833.04,828.14,-
1965743368,SMP,1,839.27,823.64,839.27,823.64,-
1965751771,SMP,1,839.59,826.43,839.59,826.43,-
1965760005,SMP,1,841.13,823.60,841.13,823.60,-
1965768354,SMP,1,835.59,822.65,835.59,822.65,-
1965776726,SMP,1,842.07,823.38,842.07,823.38,-
1965785108,SMP,1,833.08,819.87,833.08,819.87,-
1965793416,SMP,1,845.05,816.00,845.05,816.00,-
1965801742,SMP,1,841.50,817.53,841.50,817.53,-
1965810097,SMP,1,836.77,801.74,836.77,801.74,-
1965818513,SMP,1,836.07,803.85,836.07,803.85,-
1965826791,SMP,1,836.70,812.42,836.70,812.42,-
1965835184,SMP,1,842.82,801.67,842.82,801.67,-
1965843492,SMP,1,824.16,783.12,824.16,783.12,-
1965851877,SMP,1,818.11,603.39,818.11,603.39,-
1965860152,SMP,1,816.91,560.52,816.91,560.52,-
1965868498,SMP,1,795.50,555.89,795.50,555.89,-
1965876833,SMP,1,795.95,550.77,795.95,550.77,-
1965901900,SMP,1,809.87,549.24,809.87,549.24,-
1965910225,SMP,1,799.32,544.98,799.32,544.98,-
1965918481,SMP,1,798.65,539.73,798.65,539.73,-
