## [BeGaze]
## Converted from:	C:\Users\Langcog Admin\Desktop\RefLook\Reflook 4\Reflook4 CDM data 0703-0719\071212_05-1-eye_data.idf
## Date:	12.07.2012 18:39:02
## Version:	BeGaze 3.1.134
## IDF Version:	9
## Sample Rate:	120
## Separator Type:	Msg
## Trial Count:	1
## Uses Plane File:	False
## Number of Samples:	103
## Reversed:	none
## [Run]
## Subject:	071212_05 (1)
## Description:	Run74
## [Calibration]
## Calibration Type:	2-point
## Calibration Area:	1680	1050
## Calibration Point 0:	Position(335;210)
## Calibration Point 1:	Position(1343;840)
## [Geometry]
## Stimulus Dimension [mm]:	474	297
## Head Distance [mm]:	700
## [Hardware Setup]
## System ID:	IVR-X-1040-05197-SMU
## Operating System :	5.1
## IView X Version:	2.7.13
## [Filter Settings]
## Heuristics:	False
## Heuristics Stage:	0
## Bilateral:	True
## Gaze Cursor Filter:	True
## Saccade Length [px]:	80
## Filter Depth [ms]:	20
## Format:	LEFT, RIGHT, POR
##
Time,Type,Trial,L POR X [px],L POR Y [px],R POR X [px],R POR Y [px],Stimulus
5383467624,SMP,1,798.92,356.15,798.92,356.15,-
5383475951,SMP,1,796.29,359.09,796.29,359.09,-
5383484356,SMP,1,0.00,0.00,0.00,0.00,-
5383492689,SMP,1,0.00,0.00,0.00,0.00,-
5383500956,SMP,1,0.00,0.00,0.00,0.00,-
5383509355,SMP,1,0.00,0.00,0.00,0.00,-
5383517743,SMP,1,0.00,0.00,0.00,0.00,-
5383525977,SMP,1,0.00,0.00,0.00,0.00,-
5383534369,SMP,1,0.00,0.00,0.00,0.00,-
5383542778,SMP,1,0.00,0.00,0.00,0.00,-
5383551109,SMP,1,0.00,0.00,0.00,0.00,-
5383559382,SMP,1,0.00,0.00,0.00,0.00,-
5383567750,SMP,1,0.00,0.00,0.00,0.00,-
5383576117,SMP,1,0.00,0.00,0.00,0.00,-
5383584483,SMP,1,0.00,0.00,0.00,0.00,-
5383592724,SMP,1,0.00,0.00,0.00,0.00,-
5383601123,SMP,1,0.00,0.00,0.00,0.00,-
5383609478,SMP,1,0.00,0.00,0.00,0.00,-
5383617720,SMP,1,0.00,0.00,0.00,0.00,-
5383626057,SMP,1,0.00,0.00,0.00,0.00,-
5383634495,SMP,1,791.23,361.97,791.23,361.97,-
5383642827,SMP,1,767.01,333.55,767.01,333.55,-
5383651174,SMP,1,770.06,313.93,770.06,313.93,-
5383659828,SMP,1,772.10,301.06,772.10,301.06,-
5383667875,SMP,1,864.09,345.09,864.09,345.09,-
5383676237,SMP,1,768.06,324.06,768.06,324.06,-
5383684689,SMP,1,765.70,413.51,765.70,413.51,-
5383692801,SMP,1,653.45,548.75,653.45,548.75,-
5383701227,SMP,1,522.78,687.55,522.78,687.55,-
5383709573,SMP,1,477.74,799.77,477.74,799.77,-
5383717873,SMP,1,462.15,719.64,462.15,719.64,-
5383726198,SMP,1,459.92,843.24,459.92,843.24,-
5383734621,SMP,1,457.23,885.85,457.23,885.85,-
5383742788,SMP,1,455.64,894.56,455.64,894.56,-
5383751238,SMP,1,446.30,884.28,446.30,884.28,-
5383759624,SMP,1,347.53,888.13,347.53,888.13,-
5383768004,SMP,1,313.10,918.18,313.10,918.18,-
5383776202,SMP,1,347.48,910.74,347.48,910.74,-
5383784624,SMP,1,323.38,929.70,323.38,929.70,-
5383792927,SMP,1,450.69,784.42,450.69,784.42,-
5383801381,SMP,1,339.81,903.56,339.81,903.56,-
5383809572,SMP,1,448.79,781.78,448.79,781.78,-
5383817973,SMP,1,448.46,889.75,448.46,889.75,-
5383826294,SMP,1,451.91,898.24,451.91,898.24,-
5383834756,SMP,1,450.71,900.08,450.71,900.08,-
5383843015,SMP,1,440.40,892.89,440.40,892.89,-
5383851352,SMP,1,446.71,888.80,446.71,888.80,-
5383859662,SMP,1,444.60,886.38,444.60,886.38,-
5383867995,SMP,1,447.49,885.70,447.49,885.70,-
5383876330,SMP,1,447.86,890.11,447.86,890.11,-
5383884710,SMP,1,446.47,888.64,446.47,888.64,-
5383893067,SMP,1,448.00,884.33,448.00,884.33,-
5383901343,SMP,1,512.86,757.81,512.86,757.81,-
5383909751,SMP,1,540.42,671.59,540.42,671.59,-
5383918118,SMP,1,649.15,535.20,649.15,535.20,-
5383926423,SMP,1,695.44,524.36,695.44,524.36,-
5383934697,SMP,1,657.89,530.03,657.89,530.03,-
5383943100,SMP,1,672.86,527.64,672.86,527.64,-
5383951558,SMP,1,527.44,446.42,527.44,446.42,-
5383959854,SMP,1,526.27,460.82,526.27,460.82,-
5383968439,SMP,1,523.01,431.19,523.01,431.19,-
5383976455,SMP,1,476.42,378.50,476.42,378.50,-
5383984841,SMP,1,516.56,358.02,516.56,358.02,-
5383993198,SMP,1,508.26,336.70,508.26,336.70,-
5384001557,SMP,1,683.63,520.35,683.63,520.35,-
5384009824,SMP,1,696.91,513.77,696.91,513.77,-
5384018228,SMP,1,689.21,520.46,689.21,520.46,-
5384026429,SMP,1,695.25,513.39,695.25,513.39,-
5384034949,SMP,1,692.79,508.22,692.79,508.22,-
5384043232,SMP,1,691.80,513.69,691.80,513.69,-
5384051659,SMP,1,687.96,515.82,687.96,515.82,-
5384059805,SMP,1,497.95,505.81,497.95,505.81,-
5384068257,SMP,1,697.64,509.57,697.64,509.57,-
5384076566,SMP,1,694.05,515.03,694.05,515.03,-
5384084978,SMP,1,690.57,514.88,690.57,514.88,-
5384093198,SMP,1,690.94,518.45,690.94,518.45,-
5384101652,SMP,1,686.69,512.50,686.69,512.50,-
5384109955,SMP,1,689.19,514.06,689.19,514.06,-
5384118345,SMP,1,683.88,511.33,683.88,511.33,-
5384126567,SMP,1,688.54,515.26,688.54,515.26,-
5384134993,SMP,1,686.02,511.27,686.02,511.27,-
5384143345,SMP,1,690.62,511.99,690.62,511.99,-
5384151699,SMP,1,603.25,552.62,603.25,552.62,-
5384159947,SMP,1,676.23,510.44,676.23,510.44,-
5384168368,SMP,1,682.80,514.87,682.80,514.87,-
5384176647,SMP,1,685.03,514.35,685.03,514.35,-
5384184950,SMP,1,686.33,512.52,686.33,512.52,-
5384193302,SMP,1,685.60,512.03,685.60,512.03,-
5384201749,SMP,1,686.12,517.04,686.12,517.04,-
5384210094,SMP,1,691.41,511.42,691.41,511.42,-
5384218372,SMP,1,695.04,510.81,695.04,510.81,-
5384226673,SMP,1,698.11,514.29,698.11,514.29,-
5384235135,SMP,1,698.54,512.03,698.54,512.03,-
5384243474,SMP,1,696.33,509.67,696.33,509.67,-
5384251722,SMP,1,696.51,511.05,696.51,511.05,-
5384260054,SMP,1,697.74,515.76,697.74,515.76,-
5384268460,SMP,1,697.74,512.44,697.74,512.44,-
5384276715,SMP,1,699.23,511.26,699.23,511.26,-
5384285119,SMP,1,692.32,514.90,692.32,514.90,-
5384293496,SMP,1,699.68,512.20,699.68,512.20,-
5384301817,SMP,1,698.87,511.20,698.87,511.20,-
5384310088,SMP,1,675.10,515.46,675.10,515.46,-
5384318485,SMP,1,695.48,531.39,695.48,531.39,-
5419672969,SMP,1,745.69,431.80,745.69,431.80,reflook4_4.avi
5419681195,SMP,1,746.36,433.44,746.36,433.44,reflook4_4.avi
5419689616,SMP,1,747.66,436.25,747.66,436.25,reflook4_4.avi
5419698528,SMP,1,744.92,436.18,744.92,436.18,reflook4_4.avi
5419706335,SMP,1,746.12,437.57,746.12,437.57,reflook4_4.avi
5419714733,SMP,1,745.60,437.07,745.60,437.07,reflook4_4.avi
5419722948,SMP,1,746.07,436.89,746.07,436.89,reflook4_4.avi
