## [BeGaze]
## Converted from:	C:\Users\Langcog Admin\Desktop\RefLook\Reflook 4\Reflook4 CDM data 0703-0719\071812_11-eye_data.idf
## Date:	18.07.2012 21:33:35
## Version:	BeGaze 3.1.134
## IDF Version:	9
## Sample Rate:	120
## Separator Type:	Msg
## Trial Count:	1
## Uses Plane File:	False
## Number of Samples:	1122
## Reversed:	none
## [Run]
## Subject:	071812_11
## Description:	Run119
## [Calibration]
## Calibration Type:	2-point
## Calibration Area:	1680	1050
## Calibration Point 0:	Position(335;210)
## Calibration Point 1:	Position(1343;840)
## [Geometry]
## Stimulus Dimension [mm]:	474	297
## Head Distance [mm]:	700
## [Hardware Setup]
## System ID:	IVR-X-1040-05197-SMU
## Operating System :	5.1
## IView X Version:	2.7.13
## [Filter Settings]
## Heuristics:	False
## Heuristics Stage:	0
## Bilateral:	True
## Gaze Cursor Filter:	True
## Saccade Length [px]:	80
## Filter Depth [ms]:	20
## Format:	LEFT, RIGHT, POR
##
Time,Type,Trial,L POR X [px],L POR Y [px],R POR X [px],R POR Y [px],Stimulus
14478954956,SMP,1,0.00,0.00,0.00,0.00,-
14478963195,SMP,1,0.00,0.00,0.00,0.00,-
14478971584,SMP,1,1632.41,1084.81,1632.41,1084.81,-
14478980011,SMP,1,1612.51,942.85,1612.51,942.85,-
14478988348,SMP,1,1599.80,832.22,1599.80,832.22,-
14478996586,SMP,1,1597.74,708.34,1597.74,708.34,-
14479004956,SMP,1,1589.63,587.30,1589.63,587.30,-
14479013396,SMP,1,1553.14,472.63,1553.14,472.63,-
14479021671,SMP,1,0.00,0.00,0.00,0.00,-
14479029955,SMP,1,0.00,0.00,0.00,0.00,-
14479038347,SMP,1,0.00,0.00,0.00,0.00,-
14479046662,SMP,1,0.00,0.00,0.00,0.00,-
14479055107,SMP,1,0.00,0.00,0.00,0.00,-
14479063332,SMP,1,0.00,0.00,0.00,0.00,-
14479071724,SMP,1,0.00,0.00,0.00,0.00,-
14479080500,SMP,1,0.00,0.00,0.00,0.00,-
14479088351,SMP,1,0.00,0.00,0.00,0.00,-
14479096728,SMP,1,0.00,0.00,0.00,0.00,-
14479105042,SMP,1,0.00,0.00,0.00,0.00,-
14479113442,SMP,1,0.00,0.00,0.00,0.00,-
14479121727,SMP,1,0.00,0.00,0.00,0.00,-
14479130089,SMP,1,0.00,0.00,0.00,0.00,-
14479138429,SMP,1,0.00,0.00,0.00,0.00,-
14479146843,SMP,1,0.00,0.00,0.00,0.00,-
14479155098,SMP,1,0.00,0.00,0.00,0.00,-
14479163423,SMP,1,0.00,0.00,0.00,0.00,-
14479171909,SMP,1,0.00,0.00,0.00,0.00,-
14479180172,SMP,1,0.00,0.00,0.00,0.00,-
14479188505,SMP,1,0.00,0.00,0.00,0.00,-
14479196853,SMP,1,0.00,0.00,0.00,0.00,-
14479205165,SMP,1,0.00,0.00,0.00,0.00,-
14479213371,SMP,1,0.00,0.00,0.00,0.00,-
14479221844,SMP,1,0.00,0.00,0.00,0.00,-
14479230211,SMP,1,0.00,0.00,0.00,0.00,-
14479238549,SMP,1,0.00,0.00,0.00,0.00,-
14479246751,SMP,1,0.00,0.00,0.00,0.00,-
14479255302,SMP,1,0.00,0.00,0.00,0.00,-
14479263570,SMP,1,0.00,0.00,0.00,0.00,-
14479271946,SMP,1,0.00,0.00,0.00,0.00,-
14479280176,SMP,1,0.00,0.00,0.00,0.00,-
14479288597,SMP,1,0.00,0.00,0.00,0.00,-
14479296909,SMP,1,0.00,0.00,0.00,0.00,-
14479305319,SMP,1,0.00,0.00,0.00,0.00,-
14479313564,SMP,1,0.00,0.00,0.00,0.00,-
14479321971,SMP,1,0.00,0.00,0.00,0.00,-
14479330294,SMP,1,0.00,0.00,0.00,0.00,-
14479338645,SMP,1,0.00,0.00,0.00,0.00,-
14479346917,SMP,1,0.00,0.00,0.00,0.00,-
14479355355,SMP,1,0.00,0.00,0.00,0.00,-
14479363676,SMP,1,0.00,0.00,0.00,0.00,-
14479371981,SMP,1,0.00,0.00,0.00,0.00,-
14479380291,SMP,1,0.00,0.00,0.00,0.00,-
14479388724,SMP,1,0.00,0.00,0.00,0.00,-
14479397057,SMP,1,0.00,0.00,0.00,0.00,-
14479405298,SMP,1,0.00,0.00,0.00,0.00,-
14479413621,SMP,1,0.00,0.00,0.00,0.00,-
14479422082,SMP,1,0.00,0.00,0.00,0.00,-
14479430504,SMP,1,0.00,0.00,0.00,0.00,-
14479438651,SMP,1,0.00,0.00,0.00,0.00,-
14479605067,SMP,1,0.00,0.00,0.00,0.00,-
14479654894,SMP,1,0.00,0.00,0.00,0.00,-
14479704915,SMP,1,0.00,0.00,0.00,0.00,-
14479755552,SMP,1,0.00,0.00,0.00,0.00,-
14479804943,SMP,1,0.00,0.00,0.00,0.00,-
14479854871,SMP,1,0.00,0.00,0.00,0.00,-
14479905039,SMP,1,0.00,0.00,0.00,0.00,-
14479955027,SMP,1,0.00,0.00,0.00,0.00,-
14480005174,SMP,1,0.00,0.00,0.00,0.00,-
14480055045,SMP,1,0.00,0.00,0.00,0.00,-
14480105169,SMP,1,0.00,0.00,0.00,0.00,-
14480155118,SMP,1,0.00,0.00,0.00,0.00,-
14480205163,SMP,1,0.00,0.00,0.00,0.00,-
14480255150,SMP,1,0.00,0.00,0.00,0.00,-
14480305221,SMP,1,0.00,0.00,0.00,0.00,-
14480355776,SMP,1,0.00,0.00,0.00,0.00,-
14480405239,SMP,1,0.00,0.00,0.00,0.00,-
14480455624,SMP,1,0.00,0.00,0.00,0.00,-
14480505344,SMP,1,0.00,0.00,0.00,0.00,-
14480555871,SMP,1,0.00,0.00,0.00,0.00,-
14480605545,SMP,1,0.00,0.00,0.00,0.00,-
14480656380,SMP,1,0.00,0.00,0.00,0.00,-
14480728247,SMP,1,0.00,0.00,0.00,0.00,-
14480736382,SMP,1,0.00,0.00,0.00,0.00,-
14480744779,SMP,1,0.00,0.00,0.00,0.00,-
14480753396,SMP,1,0.00,0.00,0.00,0.00,-
14480761429,SMP,1,0.00,0.00,0.00,0.00,-
14480769774,SMP,1,0.00,0.00,0.00,0.00,-
14480778176,SMP,1,0.00,0.00,0.00,0.00,-
14480786379,SMP,1,0.00,0.00,0.00,0.00,-
14480794803,SMP,1,0.00,0.00,0.00,0.00,-
14480803142,SMP,1,0.00,0.00,0.00,0.00,-
14480811543,SMP,1,0.00,0.00,0.00,0.00,-
14480836555,SMP,1,0.00,0.00,0.00,0.00,-
14480844826,SMP,1,0.00,0.00,0.00,0.00,-
14480853952,SMP,1,0.00,0.00,0.00,0.00,-
14480861551,SMP,1,0.00,0.00,0.00,0.00,-
14480869904,SMP,1,0.00,0.00,0.00,0.00,-
14480878145,SMP,1,0.00,0.00,0.00,0.00,-
14480887152,SMP,1,0.00,0.00,0.00,0.00,-
14480894927,SMP,1,0.00,0.00,0.00,0.00,-
14480903298,SMP,1,1147.17,63.29,1147.17,63.29,-
14480911557,SMP,1,0.00,0.25,0.00,0.25,-
14480920136,SMP,1,0.00,0.25,0.00,0.25,-
14480928303,SMP,1,0.00,0.24,0.00,0.24,-
14480936660,SMP,1,0.00,0.24,0.00,0.24,-
14480944923,SMP,1,0.00,0.23,0.00,0.23,-
14480953290,SMP,1,0.00,0.23,0.00,0.23,-
14480961676,SMP,1,0.00,0.22,0.00,0.22,-
14480969895,SMP,1,0.00,0.21,0.00,0.21,-
14480978275,SMP,1,0.00,0.20,0.00,0.20,-
14480986754,SMP,1,0.00,0.19,0.00,0.19,-
14480995052,SMP,1,0.00,0.00,0.00,0.00,-
14481003269,SMP,1,0.00,0.00,0.00,0.00,-
14481011775,SMP,1,0.00,0.00,0.00,0.00,-
14481020031,SMP,1,0.00,0.00,0.00,0.00,-
14481028411,SMP,1,784.81,1065.53,784.81,1065.53,-
14481036636,SMP,1,798.22,971.31,798.22,971.31,-
14481045067,SMP,1,811.50,920.59,811.50,920.59,-
14481053362,SMP,1,814.56,821.40,814.56,821.40,-
14481061792,SMP,1,816.26,746.52,816.26,746.52,-
14481070036,SMP,1,830.62,653.53,830.62,653.53,-
14481078407,SMP,1,833.13,651.47,833.13,651.47,-
14481086817,SMP,1,825.76,654.66,825.76,654.66,-
14481095032,SMP,1,828.08,656.57,828.08,656.57,-
14481103557,SMP,1,829.33,653.16,829.33,653.16,-
14481111737,SMP,1,833.48,654.88,833.48,654.88,-
14481120144,SMP,1,832.35,650.48,832.35,650.48,-
14481128379,SMP,1,841.87,653.90,841.87,653.90,-
14481136747,SMP,1,836.72,652.97,836.72,652.97,-
14481145175,SMP,1,839.24,646.46,839.24,646.46,-
14481153540,SMP,1,839.84,648.79,839.84,648.79,-
14481161743,SMP,1,808.91,641.47,808.91,641.47,-
14481170159,SMP,1,845.77,641.20,845.77,641.20,-
14481186931,SMP,1,844.46,646.52,844.46,646.52,-
14481195148,SMP,1,844.38,644.27,844.38,644.27,-
14481203507,SMP,1,844.36,645.79,844.36,645.79,-
14481211893,SMP,1,845.81,643.39,845.81,643.39,-
14481220778,SMP,1,848.53,640.91,848.53,640.91,-
14481228541,SMP,1,844.99,640.09,844.99,640.09,-
14481236885,SMP,1,843.54,637.97,843.54,637.97,-
14481245241,SMP,1,846.53,639.28,846.53,639.28,-
14481254114,SMP,1,845.07,639.28,845.07,639.28,-
14481261883,SMP,1,843.30,637.76,843.30,637.76,-
14481270271,SMP,1,844.30,642.93,844.30,642.93,-
14481278615,SMP,1,843.39,643.27,843.39,643.27,-
14481286908,SMP,1,843.52,640.37,843.52,640.37,-
14481295237,SMP,1,843.48,638.52,843.48,638.52,-
14481303676,SMP,1,842.02,638.39,842.02,638.39,-
14481312033,SMP,1,843.75,637.44,843.75,637.44,-
14481320304,SMP,1,844.89,637.72,844.89,637.72,-
14481328647,SMP,1,844.36,639.30,844.36,639.30,-
14481337024,SMP,1,848.11,637.45,848.11,637.45,-
14481345395,SMP,1,847.01,636.46,847.01,636.46,-
14481353663,SMP,1,848.04,639.91,848.04,639.91,-
14481361981,SMP,1,847.19,636.53,847.19,636.53,-
14481370424,SMP,1,851.09,635.32,851.09,635.32,-
14481378576,SMP,1,846.44,636.47,846.44,636.47,-
14481387016,SMP,1,849.46,635.90,849.46,635.90,-
14481395399,SMP,1,850.49,638.34,850.49,638.34,-
14481403761,SMP,1,845.82,637.82,845.82,637.82,-
14481411974,SMP,1,846.11,639.40,846.11,639.40,-
14481420414,SMP,1,848.93,641.94,848.93,641.94,-
14481428950,SMP,1,848.36,640.60,848.36,640.60,-
14481437144,SMP,1,848.58,642.72,848.58,642.72,-
14481445387,SMP,1,845.56,641.30,845.56,641.30,-
14481453798,SMP,1,845.25,643.94,845.25,643.94,-
14481462170,SMP,1,843.70,643.64,843.70,643.64,-
14481470533,SMP,1,844.71,644.94,844.71,644.94,-
14481478691,SMP,1,852.24,647.86,852.24,647.86,-
14481487165,SMP,1,843.41,644.64,843.41,644.64,-
14481495560,SMP,1,855.76,648.10,855.76,648.10,-
14481503788,SMP,1,852.37,647.00,852.37,647.00,-
14481512087,SMP,1,876.09,646.17,876.09,646.17,-
14481520541,SMP,1,850.96,646.56,850.96,646.56,-
14481528887,SMP,1,848.60,645.81,848.60,645.81,-
14481537114,SMP,1,856.20,644.95,856.20,644.95,-
14481545524,SMP,1,849.41,645.69,849.41,645.69,-
14481553914,SMP,1,852.72,646.47,852.72,646.47,-
14481562359,SMP,1,856.70,644.75,856.70,644.75,-
14481570558,SMP,1,851.64,643.82,851.64,643.82,-
14481578907,SMP,1,856.09,643.87,856.09,643.87,-
14481587294,SMP,1,851.61,643.41,851.61,643.41,-
14481595646,SMP,1,849.11,641.88,849.11,641.88,-
14481603840,SMP,1,849.24,643.19,849.24,643.19,-
14481612280,SMP,1,851.54,642.76,851.54,642.76,-
14481620774,SMP,1,853.12,644.40,853.12,644.40,-
14481628986,SMP,1,850.35,645.36,850.35,645.36,-
14481637232,SMP,1,850.33,645.86,850.33,645.86,-
14481645595,SMP,1,851.04,645.37,851.04,645.37,-
14481654047,SMP,1,849.24,646.99,849.24,646.99,-
14481662256,SMP,1,852.34,646.75,852.34,646.75,-
14481670649,SMP,1,851.97,649.38,851.97,649.38,-
14481679001,SMP,1,851.42,649.17,851.42,649.17,-
14481687432,SMP,1,849.47,650.16,849.47,650.16,-
14481695636,SMP,1,847.86,650.13,847.86,650.13,-
14481704006,SMP,1,851.99,651.39,851.99,651.39,-
14481712371,SMP,1,843.21,648.86,843.21,648.86,-
14481720770,SMP,1,848.69,650.28,848.69,650.28,-
14481728981,SMP,1,846.54,649.77,846.54,649.77,-
14481737438,SMP,1,847.93,650.87,847.93,650.87,-
14481745768,SMP,1,844.33,650.25,844.33,650.25,-
14481754133,SMP,1,844.13,648.65,844.13,648.65,-
14481762397,SMP,1,841.59,646.91,841.59,646.91,-
14481770776,SMP,1,840.87,646.45,840.87,646.45,-
14481779075,SMP,1,844.67,647.91,844.67,647.91,-
14481787381,SMP,1,846.49,647.48,846.49,647.48,-
14481795819,SMP,1,845.76,648.30,845.76,648.30,-
14481804127,SMP,1,847.59,650.69,847.59,650.69,-
14481812665,SMP,1,848.26,649.08,848.26,649.08,-
14481820783,SMP,1,879.14,649.60,879.14,649.60,-
14481829103,SMP,1,1014.22,643.18,1014.22,643.18,-
14481837444,SMP,1,1087.73,626.40,1087.73,626.40,-
14481845888,SMP,1,1147.66,561.86,1147.66,561.86,-
14481854154,SMP,1,1212.17,424.54,1212.17,424.54,-
14481862538,SMP,1,1496.84,760.63,1496.84,760.63,-
14481870894,SMP,1,1588.18,325.62,1588.18,325.62,-
14481879248,SMP,1,0.00,0.00,0.00,0.00,-
14481887524,SMP,1,0.00,0.00,0.00,0.00,-
14481896041,SMP,1,1453.93,103.10,1453.93,103.10,-
14481904275,SMP,1,0.00,0.09,0.00,0.09,-
14481912505,SMP,1,0.00,0.07,0.00,0.07,-
14481929276,SMP,1,0.00,0.05,0.00,0.05,-
14481937596,SMP,1,0.00,0.04,0.00,0.04,-
14481945886,SMP,1,0.00,0.04,0.00,0.04,-
14481954261,SMP,1,0.00,0.03,0.00,0.03,-
14481962579,SMP,1,0.00,0.03,0.00,0.03,-
14481971005,SMP,1,0.00,0.02,0.00,0.02,-
14481979245,SMP,1,0.00,0.02,0.00,0.02,-
14482004400,SMP,1,0.00,0.02,0.00,0.02,-
14482012601,SMP,1,0.00,0.00,0.00,0.00,-
14482021012,SMP,1,0.00,0.00,0.00,0.00,-
14482029376,SMP,1,0.00,0.00,0.00,0.00,-
