## [BeGaze]
## Converted from:	C:\Users\Langcog Admin\Desktop\RefLook\Reflook 4\Reflook4 CDM data 0813-0816\081312_-eye_data.idf
## Date:	13.08.2012 21:12:28
## Version:	BeGaze 3.1.134
## IDF Version:	9
## Sample Rate:	120
## Separator Type:	Msg
## Trial Count:	1
## Uses Plane File:	False
## Number of Samples:	955
## Reversed:	none
## [Run]
## Subject:	081312_
## Description:	Run10
## [Calibration]
## Calibration Type:	2-point
## Calibration Area:	1680	1050
## Calibration Point 0:	Position(335;210)
## Calibration Point 1:	Position(1343;840)
## [Geometry]
## Stimulus Dimension [mm]:	474	297
## Head Distance [mm]:	700
## [Hardware Setup]
## System ID:	IVR-X-1040-05197-SMU
## Operating System :	5.1
## IView X Version:	2.7.13
## [Filter Settings]
## Heuristics:	False
## Heuristics Stage:	0
## Bilateral:	True
## Gaze Cursor Filter:	True
## Saccade Length [px]:	80
## Filter Depth [ms]:	20
## Format:	LEFT, RIGHT, POR
##
Time,Type,Trial,L POR X [px],L POR Y [px],R POR X [px],R POR Y [px],Stimulus
12168279375,SMP,1,0.00,0.00,0.00,0.00,elmo_sky_intro1.avi
12168329359,SMP,1,0.00,0.00,0.00,0.00,elmo_sky_intro1.avi
12168379088,SMP,1,0.00,0.00,0.00,0.00,elmo_sky_intro1.avi
12168452098,SMP,1,0.00,0.00,0.00,0.00,elmo_sky_intro1.avi
12168460088,SMP,1,0.00,0.00,0.00,0.00,elmo_sky_intro1.avi
12168468506,SMP,1,0.00,0.00,0.00,0.00,elmo_sky_intro1.avi
12168476816,SMP,1,0.00,0.00,0.00,0.00,elmo_sky_intro1.avi
12168485266,SMP,1,0.00,0.00,0.00,0.00,elmo_sky_intro1.avi
12168493470,SMP,1,0.00,0.00,0.00,0.00,elmo_sky_intro1.avi
12168501846,SMP,1,0.00,0.00,0.00,0.00,elmo_sky_intro1.avi
12168518601,SMP,1,0.00,0.00,0.00,0.00,elmo_sky_intro1.avi
12168526866,SMP,1,0.00,0.00,0.00,0.00,elmo_sky_intro1.avi
12168535266,SMP,1,0.00,0.00,0.00,0.00,elmo_sky_intro1.avi
12168543588,SMP,1,0.00,0.00,0.00,0.00,elmo_sky_intro1.avi
12168551912,SMP,1,0.00,0.00,0.00,0.00,elmo_sky_intro1.avi
12168560267,SMP,1,0.00,0.00,0.00,0.00,elmo_sky_intro1.avi
12168568623,SMP,1,0.00,0.00,0.00,0.00,elmo_sky_intro1.avi
12168577005,SMP,1,0.00,0.00,0.00,0.00,elmo_sky_intro1.avi
12168585212,SMP,1,0.00,0.00,0.00,0.00,elmo_sky_intro1.avi
12168593579,SMP,1,0.00,0.00,0.00,0.00,elmo_sky_intro1.avi
12168602021,SMP,1,0.00,0.00,0.00,0.00,elmo_sky_intro1.avi
12168610383,SMP,1,0.00,0.00,0.00,0.00,elmo_sky_intro1.avi
12168618585,SMP,1,0.00,0.00,0.00,0.00,elmo_sky_intro1.avi
12168627052,SMP,1,0.00,0.00,0.00,0.00,elmo_sky_intro1.avi
12168635344,SMP,1,0.00,0.00,0.00,0.00,elmo_sky_intro1.avi
12168643752,SMP,1,0.00,0.00,0.00,0.00,elmo_sky_intro1.avi
12168651996,SMP,1,0.00,0.00,0.00,0.00,elmo_sky_intro1.avi
12168660372,SMP,1,0.00,0.00,0.00,0.00,elmo_sky_intro1.avi
12168668762,SMP,1,0.00,0.00,0.00,0.00,elmo_sky_intro1.avi
12168677166,SMP,1,0.00,0.00,0.00,0.00,elmo_sky_intro1.avi
12168685416,SMP,1,0.00,0.00,0.00,0.00,elmo_sky_intro1.avi
12168693707,SMP,1,0.00,0.00,0.00,0.00,elmo_sky_intro1.avi
12168702079,SMP,1,0.00,0.00,0.00,0.00,elmo_sky_intro1.avi
12168710368,SMP,1,0.00,0.00,0.00,0.00,elmo_sky_intro1.avi
12168718712,SMP,1,0.00,0.00,0.00,0.00,elmo_sky_intro1.avi
12168727073,SMP,1,0.00,0.00,0.00,0.00,elmo_sky_intro1.avi
12168735523,SMP,1,0.00,0.00,0.00,0.00,elmo_sky_intro1.avi
