## [BeGaze]
## Converted from:	C:\Users\Langcog Admin\Desktop\RefLook\Reflook 4\Reflook4 CDM data 0813-0816\081312_13-eye_data.idf
## Date:	13.08.2012 21:52:42
## Version:	BeGaze 3.1.134
## IDF Version:	9
## Sample Rate:	120
## Separator Type:	Msg
## Trial Count:	1
## Uses Plane File:	False
## Number of Samples:	1206
## Reversed:	none
## [Run]
## Subject:	081312_13-eye_data
## Description:	Run12
## [Calibration]
## Calibration Type:	2-point
## Calibration Area:	1680	1050
## Calibration Point 0:	Position(335;210)
## Calibration Point 1:	Position(1343;840)
## [Geometry]
## Stimulus Dimension [mm]:	474	297
## Head Distance [mm]:	700
## [Hardware Setup]
## System ID:	IVR-X-1040-05197-SMU
## Operating System :	5.1
## IView X Version:	2.7.13
## [Filter Settings]
## Heuristics:	False
## Heuristics Stage:	0
## Bilateral:	True
## Gaze Cursor Filter:	True
## Saccade Length [px]:	80
## Filter Depth [ms]:	20
## Format:	LEFT, RIGHT, POR
##
Time,Type,Trial,L POR X [px],L POR Y [px],R POR X [px],R POR Y [px],Stimulus
14582270421,SMP,1,0.00,0.00,0.00,0.00,elmo_sky_intro1.avi
14582278827,SMP,1,0.00,0.00,0.00,0.00,elmo_sky_intro1.avi
14582287043,SMP,1,0.00,0.00,0.00,0.00,elmo_sky_intro1.avi
14582295454,SMP,1,0.00,0.00,0.00,0.00,elmo_sky_intro1.avi
14582303823,SMP,1,0.00,0.00,0.00,0.00,elmo_sky_intro1.avi
14582312247,SMP,1,0.00,0.00,0.00,0.00,elmo_sky_intro1.avi
14582320393,SMP,1,0.00,0.00,0.00,0.00,elmo_sky_intro1.avi
14582328805,SMP,1,0.00,0.00,0.00,0.00,elmo_sky_intro1.avi
14582337144,SMP,1,0.00,0.00,0.00,0.00,elmo_sky_intro1.avi
14582345627,SMP,1,0.00,0.00,0.00,0.00,elmo_sky_intro1.avi
14582353802,SMP,1,0.00,0.00,0.00,0.00,elmo_sky_intro1.avi
14582362199,SMP,1,0.00,0.00,0.00,0.00,elmo_sky_intro1.avi
14582370557,SMP,1,0.00,0.00,0.00,0.00,elmo_sky_intro1.avi
14582378907,SMP,1,0.00,0.00,0.00,0.00,elmo_sky_intro1.avi
14582387185,SMP,1,0.00,0.00,0.00,0.00,elmo_sky_intro1.avi
14582395497,SMP,1,0.00,0.00,0.00,0.00,elmo_sky_intro1.avi
14582403892,SMP,1,0.00,0.00,0.00,0.00,elmo_sky_intro1.avi
14582412179,SMP,1,0.00,0.00,0.00,0.00,elmo_sky_intro1.avi
14582420550,SMP,1,0.00,0.00,0.00,0.00,elmo_sky_intro1.avi
14582428946,SMP,1,0.00,0.00,0.00,0.00,elmo_sky_intro1.avi
14582437320,SMP,1,0.00,0.00,0.00,0.00,elmo_sky_intro1.avi
14582445526,SMP,1,0.00,0.00,0.00,0.00,elmo_sky_intro1.avi
14582453884,SMP,1,0.00,0.00,0.00,0.00,elmo_sky_intro1.avi
14582462310,SMP,1,0.00,0.00,0.00,0.00,elmo_sky_intro1.avi
