## [BeGaze]
## Converted from:	C:\Users\Langcog Admin\Desktop\RefLook\Reflook 4\Reflook4 CDM data\052212_7-eye_data.idf
## Date:	22.05.2012 20:37:27
## Version:	BeGaze 3.1.111
## IDF Version:	9
## Sample Rate:	120
## Separator Type:	Msg
## Trial Count:	1
## Uses Plane File:	False
## Number of Samples:	1040
## Reversed:	none
## [Run]
## Subject:	052212_7
## Description:	Run4
## [Calibration]
## Calibration Type:	2-point
## Calibration Area:	1680	1050
## Calibration Point 0:	Position(335;210)
## Calibration Point 1:	Position(1343;840)
## [Geometry]
## Stimulus Dimension [mm]:	474	297
## Head Distance [mm]:	700
## [Hardware Setup]
## System ID:	IVR-X-1040-05197-SMU
## Operating System :	5.1
## IView X Version:	2.7.13
## [Filter Settings]
## Heuristics:	False
## Heuristics Stage:	0
## Bilateral:	True
## Gaze Cursor Filter:	True
## Saccade Length [px]:	80
## Filter Depth [ms]:	20
## Format:	LEFT, RIGHT, POR
##
Time,Type,Trial,L POR X [px],L POR Y [px],R POR X [px],R POR Y [px],Stimulus
5178577434,SMP,1,1005.15,648.42,1005.15,648.42,elmos world the sky active.avi
5178585794,SMP,1,1002.78,645.95,1002.78,645.95,elmos world the sky active.avi
5178594188,SMP,1,1009.97,651.83,1009.97,651.83,elmos world the sky active.avi
5178602527,SMP,1,1015.65,652.36,1015.65,652.36,elmos world the sky active.avi
5178610830,SMP,1,1000.92,651.04,1000.92,651.04,elmos world the sky active.avi
5178619336,SMP,1,1001.75,651.05,1001.75,651.05,elmos world the sky active.avi
5178627522,SMP,1,1013.53,647.43,1013.53,647.43,elmos world the sky active.avi
5178635900,SMP,1,1011.98,651.39,1011.98,651.39,elmos world the sky active.avi
5178644197,SMP,1,993.07,648.22,993.07,648.22,elmos world the sky active.avi
5178652557,SMP,1,1001.06,644.50,1001.06,644.50,elmos world the sky active.avi
5178660951,SMP,1,994.73,642.38,994.73,642.38,elmos world the sky active.avi
5178669171,SMP,1,1011.14,636.12,1011.14,636.12,elmos world the sky active.avi
5178677520,SMP,1,1007.17,640.49,1007.17,640.49,elmos world the sky active.avi
5178685937,SMP,1,1008.64,639.57,1008.64,639.57,elmos world the sky active.avi
5178694364,SMP,1,1001.20,640.14,1001.20,640.14,elmos world the sky active.avi
5178702520,SMP,1,1001.38,639.57,1001.38,639.57,elmos world the sky active.avi
5178710861,SMP,1,998.95,637.42,998.95,637.42,elmos world the sky active.avi
5178719289,SMP,1,1001.53,637.07,1001.53,637.07,elmos world the sky active.avi
5178727705,SMP,1,995.97,637.50,995.97,637.50,elmos world the sky active.avi
5178735938,SMP,1,926.49,650.71,926.49,650.71,elmos world the sky active.avi
5178744334,SMP,1,805.27,710.22,805.27,710.22,elmos world the sky active.avi
