## [BeGaze]
## Converted from:	C:\Users\Langcog Admin\Desktop\RefLook\Reflook 4\Reflook4 CDM data\052212_8-2-eye_data.idf
## Date:	22.05.2012 20:50:43
## Version:	BeGaze 3.1.111
## IDF Version:	9
## Sample Rate:	120
## Separator Type:	Msg
## Trial Count:	1
## Uses Plane File:	False
## Number of Samples:	334
## Reversed:	none
## [Run]
## Subject:	052212_8
## Description:	Run5
## [Calibration]
## Calibration Type:	2-point
## Calibration Area:	1680	1050
## Calibration Point 0:	Position(840;525)
## Calibration Point 1:	Position(420;105)
## Calibration Point 2:	Position(1512;262)
## Calibration Point 3:	Position(1260;945)
## Calibration Point 4:	Position(167;787)
## [Geometry]
## Stimulus Dimension [mm]:	474	297
## Head Distance [mm]:	700
## [Hardware Setup]
## System ID:	IVR-X-1040-05197-SMU
## Operating System :	5.1
## IView X Version:	2.7.13
## [Filter Settings]
## Heuristics:	False
## Heuristics Stage:	0
## Bilateral:	True
## Gaze Cursor Filter:	True
## Saccade Length [px]:	80
## Filter Depth [ms]:	20
## Format:	LEFT, RIGHT, POR
##
Time,Type,Trial,L POR X [px],L POR Y [px],R POR X [px],R POR Y [px],Stimulus
5975043210,SMP,1,0.00,0.00,0.00,0.00,elmos world the sky active.avi
5975051545,SMP,1,0.00,0.00,0.00,0.00,elmos world the sky active.avi
5975060054,SMP,1,0.00,0.00,0.00,0.00,elmos world the sky active.avi
5975068188,SMP,1,0.00,0.00,0.00,0.00,elmos world the sky active.avi
5975076586,SMP,1,0.00,0.00,0.00,0.00,elmos world the sky active.avi
5975084907,SMP,1,0.00,0.00,0.00,0.00,elmos world the sky active.avi
5975093840,SMP,1,0.00,0.00,0.00,0.00,elmos world the sky active.avi
5975101584,SMP,1,0.00,0.00,0.00,0.00,elmos world the sky active.avi
5975109980,SMP,1,0.00,0.00,0.00,0.00,elmos world the sky active.avi
5975118306,SMP,1,0.00,0.00,0.00,0.00,elmos world the sky active.avi
5975126505,SMP,1,0.00,0.00,0.00,0.00,elmos world the sky active.avi
5975134946,SMP,1,0.00,0.00,0.00,0.00,elmos world the sky active.avi
5975143324,SMP,1,0.00,0.00,0.00,0.00,elmos world the sky active.avi
5975151733,SMP,1,0.00,0.00,0.00,0.00,elmos world the sky active.avi
5975159963,SMP,1,0.00,0.00,0.00,0.00,elmos world the sky active.avi
5975168349,SMP,1,0.00,0.00,0.00,0.00,elmos world the sky active.avi
5975176711,SMP,1,0.00,0.00,0.00,0.00,elmos world the sky active.avi
5975185059,SMP,1,0.00,0.00,0.00,0.00,elmos world the sky active.avi
5975193343,SMP,1,0.00,0.00,0.00,0.00,elmos world the sky active.avi
5975201681,SMP,1,0.00,0.00,0.00,0.00,elmos world the sky active.avi
5975210415,SMP,1,0.00,0.00,0.00,0.00,elmos world the sky active.avi
5975218292,SMP,1,0.00,0.00,0.00,0.00,elmos world the sky active.avi
5975226671,SMP,1,0.00,0.00,0.00,0.00,elmos world the sky active.avi
5975235111,SMP,1,0.00,0.00,0.00,0.00,elmos world the sky active.avi
5975243482,SMP,1,0.00,0.00,0.00,0.00,elmos world the sky active.avi
5975251678,SMP,1,0.00,0.00,0.00,0.00,elmos world the sky active.avi
5975260084,SMP,1,0.00,0.00,0.00,0.00,elmos world the sky active.avi
5975268470,SMP,1,0.00,0.00,0.00,0.00,elmos world the sky active.avi
5975276841,SMP,1,0.00,0.00,0.00,0.00,elmos world the sky active.avi
5975285005,SMP,1,0.00,0.00,0.00,0.00,elmos world the sky active.avi
5975293417,SMP,1,0.00,0.00,0.00,0.00,elmos world the sky active.avi
5975302305,SMP,1,0.00,0.00,0.00,0.00,elmos world the sky active.avi
5975310220,SMP,1,0.00,0.00,0.00,0.00,elmos world the sky active.avi
5975318433,SMP,1,0.00,0.00,0.00,0.00,elmos world the sky active.avi
5975326926,SMP,1,0.00,0.00,0.00,0.00,elmos world the sky active.avi
5975335181,SMP,1,0.00,0.00,0.00,0.00,elmos world the sky active.avi
5975343554,SMP,1,0.00,0.00,0.00,0.00,elmos world the sky active.avi
5975351880,SMP,1,0.00,0.00,0.00,0.00,elmos world the sky active.avi
5975360221,SMP,1,0.00,0.00,0.00,0.00,elmos world the sky active.avi
5975368583,SMP,1,0.00,0.00,0.00,0.00,elmos world the sky active.avi
5975376821,SMP,1,0.00,0.00,0.00,0.00,elmos world the sky active.avi
5975385203,SMP,1,0.00,0.00,0.00,0.00,elmos world the sky active.avi
5975393519,SMP,1,0.00,0.00,0.00,0.00,elmos world the sky active.avi
5975401979,SMP,1,0.00,0.00,0.00,0.00,elmos world the sky active.avi
5975410210,SMP,1,0.00,0.00,0.00,0.00,elmos world the sky active.avi
5975418523,SMP,1,0.00,0.00,0.00,0.00,elmos world the sky active.avi
5975426966,SMP,1,0.00,0.00,0.00,0.00,elmos world the sky active.avi
5975435336,SMP,1,0.00,0.00,0.00,0.00,elmos world the sky active.avi
5975443581,SMP,1,0.00,0.00,0.00,0.00,elmos world the sky active.avi
5975451940,SMP,1,0.00,0.00,0.00,0.00,elmos world the sky active.avi
5975460339,SMP,1,0.00,0.00,0.00,0.00,elmos world the sky active.avi
5975469172,SMP,1,0.00,0.00,0.00,0.00,elmos world the sky active.avi
5975476979,SMP,1,0.00,0.00,0.00,0.00,elmos world the sky active.avi
5975485321,SMP,1,0.00,0.00,0.00,0.00,elmos world the sky active.avi
5975493684,SMP,1,0.00,0.00,0.00,0.00,elmos world the sky active.avi
5975502105,SMP,1,0.00,0.00,0.00,0.00,elmos world the sky active.avi
5975510379,SMP,1,0.00,0.00,0.00,0.00,elmos world the sky active.avi
5975518670,SMP,1,0.00,0.00,0.00,0.00,elmos world the sky active.avi
5975527077,SMP,1,0.00,0.00,0.00,0.00,elmos world the sky active.avi
5975535701,SMP,1,0.00,0.00,0.00,0.00,elmos world the sky active.avi
5975543714,SMP,1,0.00,0.00,0.00,0.00,elmos world the sky active.avi
5975552054,SMP,1,0.00,0.00,0.00,0.00,elmos world the sky active.avi
5975560432,SMP,1,0.00,0.00,0.00,0.00,elmos world the sky active.avi
5975568657,SMP,1,0.00,0.00,0.00,0.00,elmos world the sky active.avi
5975577083,SMP,1,0.00,0.00,0.00,0.00,elmos world the sky active.avi
5975585422,SMP,1,0.00,0.00,0.00,0.00,elmos world the sky active.avi
5975593799,SMP,1,0.00,0.00,0.00,0.00,elmos world the sky active.avi
5975602169,SMP,1,0.00,0.00,0.00,0.00,elmos world the sky active.avi
5975610430,SMP,1,0.00,0.00,0.00,0.00,elmos world the sky active.avi
