## [BeGaze]
## Converted from:	C:\Users\Langcog Admin\Desktop\RefLook\Reflook 4\Reflook4 CDM data\061212_7-1-eye_data.idf
## Date:	12.06.2012 19:19:20
## Version:	BeGaze 3.1.111
## IDF Version:	9
## Sample Rate:	120
## Separator Type:	Msg
## Trial Count:	1
## Uses Plane File:	False
## Number of Samples:	667
## Reversed:	none
## [Run]
## Subject:	061212_7
## Description:	Run48
## [Calibration]
## Calibration Type:	2-point
## Calibration Area:	1680	1050
## Calibration Point 0:	Position(335;210)
## Calibration Point 1:	Position(1343;840)
## [Geometry]
## Stimulus Dimension [mm]:	474	297
## Head Distance [mm]:	700
## [Hardware Setup]
## System ID:	IVR-X-1040-05197-SMU
## Operating System :	5.1
## IView X Version:	2.7.13
## [Filter Settings]
## Heuristics:	False
## Heuristics Stage:	0
## Bilateral:	True
## Gaze Cursor Filter:	True
## Saccade Length [px]:	80
## Filter Depth [ms]:	20
## Format:	LEFT, RIGHT, POR
##
Time,Type,Trial,L POR X [px],L POR Y [px],R POR X [px],R POR Y [px],Stimulus
5315207001,SMP,1,0.00,0.00,0.00,0.00,elmos world the sky active.avi
5315256860,SMP,1,0.00,0.00,0.00,0.00,elmos world the sky active.avi
5315306999,SMP,1,0.00,0.00,0.00,0.00,elmos world the sky active.avi
5315356998,SMP,1,0.00,0.00,0.00,0.00,elmos world the sky active.avi
5315406991,SMP,1,0.00,0.00,0.00,0.00,elmos world the sky active.avi
5315457273,SMP,1,0.00,0.00,0.00,0.00,elmos world the sky active.avi
5315507537,SMP,1,0.00,0.00,0.00,0.00,elmos world the sky active.avi
5315557321,SMP,1,0.00,0.00,0.00,0.00,elmos world the sky active.avi
5315606993,SMP,1,0.00,0.00,0.00,0.00,elmos world the sky active.avi
5315656987,SMP,1,0.00,0.00,0.00,0.00,elmos world the sky active.avi
5315707040,SMP,1,0.00,0.00,0.00,0.00,elmos world the sky active.avi
5315757244,SMP,1,0.00,0.00,0.00,0.00,elmos world the sky active.avi
5315807114,SMP,1,0.00,0.00,0.00,0.00,elmos world the sky active.avi
5315857270,SMP,1,0.00,0.00,0.00,0.00,elmos world the sky active.avi
5315907507,SMP,1,0.00,0.00,0.00,0.00,elmos world the sky active.avi
5315957139,SMP,1,0.00,0.00,0.00,0.00,elmos world the sky active.avi
5316007301,SMP,1,0.00,0.00,0.00,0.00,elmos world the sky active.avi
5316057198,SMP,1,0.00,0.00,0.00,0.00,elmos world the sky active.avi
5316107339,SMP,1,0.00,0.00,0.00,0.00,elmos world the sky active.avi
5316157334,SMP,1,0.00,0.00,0.00,0.00,elmos world the sky active.avi
5316207282,SMP,1,0.00,0.00,0.00,0.00,elmos world the sky active.avi
5316257489,SMP,1,0.00,0.00,0.00,0.00,elmos world the sky active.avi
5316307463,SMP,1,0.00,0.00,0.00,0.00,elmos world the sky active.avi
5316357293,SMP,1,0.00,0.00,0.00,0.00,elmos world the sky active.avi
5316407429,SMP,1,0.00,0.00,0.00,0.00,elmos world the sky active.avi
5316457459,SMP,1,0.00,0.00,0.00,0.00,elmos world the sky active.avi
5316507473,SMP,1,0.00,0.00,0.00,0.00,elmos world the sky active.avi
5316557494,SMP,1,0.00,0.00,0.00,0.00,elmos world the sky active.avi
5316607427,SMP,1,0.00,0.00,0.00,0.00,elmos world the sky active.avi
5316658073,SMP,1,0.00,0.00,0.00,0.00,elmos world the sky active.avi
5316707731,SMP,1,0.00,0.00,0.00,0.00,elmos world the sky active.avi
5316757586,SMP,1,0.00,0.00,0.00,0.00,elmos world the sky active.avi
5316807569,SMP,1,0.00,0.00,0.00,0.00,elmos world the sky active.avi
5316857611,SMP,1,0.00,0.00,0.00,0.00,elmos world the sky active.avi
5316907756,SMP,1,0.00,0.00,0.00,0.00,elmos world the sky active.avi
5316957840,SMP,1,0.00,0.00,0.00,0.00,elmos world the sky active.avi
5317007755,SMP,1,0.00,0.00,0.00,0.00,elmos world the sky active.avi
5317058137,SMP,1,0.00,0.00,0.00,0.00,elmos world the sky active.avi
5317107872,SMP,1,0.00,0.00,0.00,0.00,elmos world the sky active.avi
5317157723,SMP,1,0.00,0.00,0.00,0.00,elmos world the sky active.avi
5317207776,SMP,1,0.00,0.00,0.00,0.00,elmos world the sky active.avi
5317257868,SMP,1,0.00,0.00,0.00,0.00,elmos world the sky active.avi
5317307839,SMP,1,0.00,0.00,0.00,0.00,elmos world the sky active.avi
5317357852,SMP,1,0.00,0.00,0.00,0.00,elmos world the sky active.avi
5317407992,SMP,1,0.00,0.00,0.00,0.00,elmos world the sky active.avi
5317458135,SMP,1,0.00,0.00,0.00,0.00,elmos world the sky active.avi
5317508053,SMP,1,0.00,0.00,0.00,0.00,elmos world the sky active.avi
5317557972,SMP,1,0.00,0.00,0.00,0.00,elmos world the sky active.avi
5317607956,SMP,1,0.00,0.00,0.00,0.00,elmos world the sky active.avi
5317658168,SMP,1,0.00,0.00,0.00,0.00,elmos world the sky active.avi
5317708309,SMP,1,0.00,0.00,0.00,0.00,elmos world the sky active.avi
5317758056,SMP,1,0.00,0.00,0.00,0.00,elmos world the sky active.avi
5317808175,SMP,1,0.00,0.00,0.00,0.00,elmos world the sky active.avi
5317858404,SMP,1,0.00,0.00,0.00,0.00,elmos world the sky active.avi
5317908218,SMP,1,0.00,0.00,0.00,0.00,elmos world the sky active.avi
5317958155,SMP,1,0.00,0.00,0.00,0.00,elmos world the sky active.avi
5318008241,SMP,1,0.00,0.00,0.00,0.00,elmos world the sky active.avi
5318058185,SMP,1,0.00,0.00,0.00,0.00,elmos world the sky active.avi
5318108226,SMP,1,0.00,0.00,0.00,0.00,elmos world the sky active.avi
5318158198,SMP,1,0.00,0.00,0.00,0.00,elmos world the sky active.avi
5318208291,SMP,1,0.00,0.00,0.00,0.00,elmos world the sky active.avi
5318258472,SMP,1,0.00,0.00,0.00,0.00,elmos world the sky active.avi
5318308399,SMP,1,0.00,0.00,0.00,0.00,elmos world the sky active.avi
5318358294,SMP,1,0.00,0.00,0.00,0.00,elmos world the sky active.avi
5318408388,SMP,1,0.00,0.00,0.00,0.00,elmos world the sky active.avi
5318458387,SMP,1,0.00,0.00,0.00,0.00,elmos world the sky active.avi
5318508396,SMP,1,0.00,0.00,0.00,0.00,elmos world the sky active.avi
5318558388,SMP,1,0.00,0.00,0.00,0.00,elmos world the sky active.avi
5318608548,SMP,1,0.00,0.00,0.00,0.00,elmos world the sky active.avi
5318658654,SMP,1,0.00,0.00,0.00,0.00,elmos world the sky active.avi
