## [BeGaze]
## Converted from:	C:\Users\Langcog Admin\Desktop\RefLook\Reflook 4\Reflook4 CDM data\062612_06-eye_data.idf
## Date:	26.06.2012 19:42:42
## Version:	BeGaze 3.1.111
## IDF Version:	9
## Sample Rate:	120
## Separator Type:	Msg
## Trial Count:	1
## Uses Plane File:	False
## Number of Samples:	2567
## Reversed:	none
## [Run]
## Subject:	062612_06
## Description:	Run82
## [Calibration]
## Calibration Type:	2-point
## Calibration Area:	1680	1050
## Calibration Point 0:	Position(840;525)
## Calibration Point 1:	Position(420;105)
## Calibration Point 2:	Position(1512;262)
## Calibration Point 3:	Position(1260;945)
## Calibration Point 4:	Position(167;787)
## [Geometry]
## Stimulus Dimension [mm]:	474	297
## Head Distance [mm]:	700
## [Hardware Setup]
## System ID:	IVR-X-1040-05197-SMU
## Operating System :	5.1
## IView X Version:	2.7.13
## [Filter Settings]
## Heuristics:	False
## Heuristics Stage:	0
## Bilateral:	True
## Gaze Cursor Filter:	True
## Saccade Length [px]:	80
## Filter Depth [ms]:	20
## Format:	LEFT, RIGHT, POR
##
Time,Type,Trial,L POR X [px],L POR Y [px],R POR X [px],R POR Y [px],Stimulus
1146749803,SMP,1,0.00,0.00,0.00,0.00,-
1146758176,SMP,1,0.00,0.00,0.00,0.00,-
1146766466,SMP,1,0.00,0.00,0.00,0.00,-
1146774807,SMP,1,0.00,0.00,0.00,0.00,-
1146783181,SMP,1,0.00,0.00,0.00,0.00,-
1146791554,SMP,1,0.00,0.00,0.00,0.00,-
1146799786,SMP,1,0.00,0.00,0.00,0.00,-
1146808171,SMP,1,0.00,0.00,0.00,0.00,-
1146816561,SMP,1,0.00,0.00,0.00,0.00,-
1146824877,SMP,1,0.00,0.00,0.00,0.00,-
1146833156,SMP,1,0.00,0.00,0.00,0.00,-
1146841578,SMP,1,0.00,0.00,0.00,0.00,-
1146849927,SMP,1,0.00,0.00,0.00,0.00,-
1146858173,SMP,1,0.00,0.00,0.00,0.00,-
1146866514,SMP,1,0.00,0.00,0.00,0.00,-
1146874914,SMP,1,0.00,0.00,0.00,0.00,-
1146883301,SMP,1,0.00,0.00,0.00,0.00,-
1146891547,SMP,1,0.00,0.00,0.00,0.00,-
1146899889,SMP,1,0.00,0.00,0.00,0.00,-
1146908330,SMP,1,0.00,0.00,0.00,0.00,-
1146916620,SMP,1,0.00,0.00,0.00,0.00,-
1146924933,SMP,1,0.00,0.00,0.00,0.00,-
1146933264,SMP,1,0.00,0.00,0.00,0.00,-
1146941907,SMP,1,0.00,0.00,0.00,0.00,-
1146950051,SMP,1,0.00,0.00,0.00,0.00,-
1146958307,SMP,1,0.00,0.00,0.00,0.00,-
1146966643,SMP,1,0.00,0.00,0.00,0.00,-
1146975066,SMP,1,0.00,0.00,0.00,0.00,-
1146983291,SMP,1,0.00,0.00,0.00,0.00,-
1146991624,SMP,1,0.00,0.00,0.00,0.00,-
1147000038,SMP,1,0.00,0.00,0.00,0.00,-
1147008423,SMP,1,0.00,0.00,0.00,0.00,-
1147016662,SMP,1,0.00,0.00,0.00,0.00,-
1147025012,SMP,1,0.00,0.00,0.00,0.00,-
1147033511,SMP,1,0.00,0.00,0.00,0.00,-
1147041802,SMP,1,0.00,0.00,0.00,0.00,-
1147050007,SMP,1,0.00,0.00,0.00,0.00,-
1147058384,SMP,1,0.00,0.00,0.00,0.00,-
1147066793,SMP,1,0.00,0.00,0.00,0.00,-
1147075143,SMP,1,0.00,0.00,0.00,0.00,-
1147083477,SMP,1,0.00,0.00,0.00,0.00,-
1147091805,SMP,1,0.00,0.00,0.00,0.00,-
1147100138,SMP,1,0.00,0.00,0.00,0.00,-
1147108704,SMP,1,0.00,0.00,0.00,0.00,-
1147116792,SMP,1,0.00,0.00,0.00,0.00,-
1147125159,SMP,1,0.00,0.00,0.00,0.00,-
1147133646,SMP,1,0.00,0.00,0.00,0.00,-
1147142350,SMP,1,0.00,0.00,0.00,0.00,-
1147150171,SMP,1,0.00,0.00,0.00,0.00,-
1147158567,SMP,1,0.00,0.00,0.00,0.00,-
1147166908,SMP,1,0.00,0.00,0.00,0.00,-
1147175170,SMP,1,0.00,0.00,0.00,0.00,-
1147183631,SMP,1,0.00,0.00,0.00,0.00,-
1147191913,SMP,1,0.00,0.00,0.00,0.00,-
1147200274,SMP,1,0.00,0.00,0.00,0.00,-
1147208558,SMP,1,0.00,0.00,0.00,0.00,-
1147216916,SMP,1,0.00,0.00,0.00,0.00,-
1147225263,SMP,1,0.00,0.00,0.00,0.00,-
1147233607,SMP,1,0.00,0.00,0.00,0.00,-
1147241929,SMP,1,0.00,0.00,0.00,0.00,-
1147250284,SMP,1,0.00,0.00,0.00,0.00,-
1147258685,SMP,1,0.00,0.00,0.00,0.00,-
1147266885,SMP,1,0.00,0.00,0.00,0.00,-
1147275325,SMP,1,0.00,0.00,0.00,0.00,-
1147283632,SMP,1,0.00,0.00,0.00,0.00,-
1147292021,SMP,1,0.00,0.00,0.00,0.00,-
1147300268,SMP,1,0.00,0.00,0.00,0.00,-
1147308670,SMP,1,0.00,0.00,0.00,0.00,-
1147317030,SMP,1,0.00,0.00,0.00,0.00,-
1147325392,SMP,1,0.00,0.00,0.00,0.00,-
1147333614,SMP,1,0.00,0.00,0.00,0.00,-
1147342043,SMP,1,0.00,0.00,0.00,0.00,-
1147350417,SMP,1,0.00,0.00,0.00,0.00,-
1147358799,SMP,1,0.00,0.00,0.00,0.00,-
1147367011,SMP,1,0.00,0.00,0.00,0.00,-
1147375420,SMP,1,0.00,0.00,0.00,0.00,-
1147383755,SMP,1,0.00,0.00,0.00,0.00,-
1147392017,SMP,1,0.00,0.00,0.00,0.00,-
1147400451,SMP,1,0.00,0.00,0.00,0.00,-
1147408801,SMP,1,0.00,0.00,0.00,0.00,-
1147417129,SMP,1,0.00,0.00,0.00,0.00,-
1147425385,SMP,1,0.00,0.00,0.00,0.00,-
1147433762,SMP,1,0.00,0.00,0.00,0.00,-
1147442195,SMP,1,0.00,0.00,0.00,0.00,-
1147450536,SMP,1,0.00,0.00,0.00,0.00,-
1147458782,SMP,1,0.00,0.00,0.00,0.00,-
1147467136,SMP,1,0.00,0.00,0.00,0.00,-
1147475564,SMP,1,0.00,0.00,0.00,0.00,-
1147483915,SMP,1,0.00,0.00,0.00,0.00,-
1147492142,SMP,1,0.00,0.00,0.00,0.00,-
1147500466,SMP,1,0.00,0.00,0.00,0.00,-
1147509162,SMP,1,0.00,0.00,0.00,0.00,-
1147517133,SMP,1,0.00,0.00,0.00,0.00,-
1147525465,SMP,1,0.00,0.00,0.00,0.00,-
1147533914,SMP,1,0.00,0.00,0.00,0.00,-
1147542306,SMP,1,0.00,0.00,0.00,0.00,-
1147550504,SMP,1,0.00,0.00,0.00,0.00,-
1147559190,SMP,1,0.00,0.00,0.00,0.00,-
1147567285,SMP,1,0.00,0.00,0.00,0.00,-
1147575657,SMP,1,0.00,0.00,0.00,0.00,-
1147583912,SMP,1,0.00,0.00,0.00,0.00,-
1147592309,SMP,1,0.00,0.00,0.00,0.00,-
1147600636,SMP,1,0.00,0.00,0.00,0.00,-
1147609065,SMP,1,0.00,0.00,0.00,0.00,-
1147617258,SMP,1,0.00,0.00,0.00,0.00,-
1147625598,SMP,1,0.00,0.00,0.00,0.00,-
1147633989,SMP,1,0.00,0.00,0.00,0.00,-
1147642295,SMP,1,0.00,0.00,0.00,0.00,-
1147650639,SMP,1,0.00,0.00,0.00,0.00,-
1147659028,SMP,1,0.00,0.00,0.00,0.00,-
1147667343,SMP,1,0.00,0.00,0.00,0.00,-
1147675640,SMP,1,0.00,0.00,0.00,0.00,-
1147684101,SMP,1,0.00,0.00,0.00,0.00,-
1147692420,SMP,1,0.00,0.00,0.00,0.00,-
1147700761,SMP,1,0.00,0.00,0.00,0.00,-
1147709055,SMP,1,0.00,0.00,0.00,0.00,-
1147717478,SMP,1,0.00,0.00,0.00,0.00,-
1147725776,SMP,1,0.00,0.00,0.00,0.00,-
1147734146,SMP,1,0.00,0.00,0.00,0.00,-
1147742420,SMP,1,0.00,0.00,0.00,0.00,-
1147750795,SMP,1,0.00,0.00,0.00,0.00,-
1147759164,SMP,1,0.00,0.00,0.00,0.00,-
1147767518,SMP,1,0.00,0.00,0.00,0.00,-
1147775812,SMP,1,0.00,0.00,0.00,0.00,-
1147784155,SMP,1,0.00,0.00,0.00,0.00,-
1147792505,SMP,1,0.00,0.00,0.00,0.00,-
1147800801,SMP,1,0.00,0.00,0.00,0.00,-
1147809179,SMP,1,0.00,0.00,0.00,0.00,-
1147817522,SMP,1,0.00,0.00,0.00,0.00,-
1147825885,SMP,1,0.00,0.00,0.00,0.00,-
1147834147,SMP,1,0.00,0.00,0.00,0.00,-
1147842536,SMP,1,0.00,0.00,0.00,0.00,-
1147850891,SMP,1,0.00,0.00,0.00,0.00,-
1147859272,SMP,1,0.00,0.00,0.00,0.00,-
1147867495,SMP,1,0.00,0.00,0.00,0.00,-
1147875896,SMP,1,0.00,0.00,0.00,0.00,-
1147884279,SMP,1,0.00,0.00,0.00,0.00,-
1147892609,SMP,1,0.00,0.00,0.00,0.00,-
1147900866,SMP,1,0.00,0.00,0.00,0.00,-
1147909405,SMP,1,0.00,0.00,0.00,0.00,-
1147917655,SMP,1,0.00,0.00,0.00,0.00,-
1147925878,SMP,1,0.00,0.00,0.00,0.00,-
1147934265,SMP,1,0.00,0.00,0.00,0.00,-
1147942656,SMP,1,0.00,0.00,0.00,0.00,-
1147951012,SMP,1,0.00,0.00,0.00,0.00,-
1147959273,SMP,1,0.00,0.00,0.00,0.00,-
1147967645,SMP,1,0.00,0.00,0.00,0.00,-
1147976047,SMP,1,0.00,0.00,0.00,0.00,-
