## [BeGaze]
## Converted from:	C:\Users\Langcog Admin\Desktop\RefLook\Reflook 4\Reflook4 CDM data\062612_12-eye_data.idf
## Date:	26.06.2012 21:54:22
## Version:	BeGaze 3.1.111
## IDF Version:	9
## Sample Rate:	120
## Separator Type:	Msg
## Trial Count:	1
## Uses Plane File:	False
## Number of Samples:	2193
## Reversed:	none
## [Run]
## Subject:	062612_12 (1)
## Description:	Run89
## [Calibration]
## Calibration Type:	2-point
## Calibration Area:	1680	1050
## Calibration Point 0:	Position(335;210)
## Calibration Point 1:	Position(1343;840)
## [Geometry]
## Stimulus Dimension [mm]:	474	297
## Head Distance [mm]:	700
## [Hardware Setup]
## System ID:	IVR-X-1040-05197-SMU
## Operating System :	5.1
## IView X Version:	2.7.13
## [Filter Settings]
## Heuristics:	False
## Heuristics Stage:	0
## Bilateral:	True
## Gaze Cursor Filter:	True
## Saccade Length [px]:	80
## Filter Depth [ms]:	20
## Format:	LEFT, RIGHT, POR
##
Time,Type,Trial,L POR X [px],L POR Y [px],R POR X [px],R POR Y [px],Stimulus
9045275700,SMP,1,0.00,0.00,0.00,0.00,-
9045283191,SMP,1,0.00,0.00,0.00,0.00,-
9045291525,SMP,1,0.00,0.00,0.00,0.00,-
9045299911,SMP,1,0.00,0.00,0.00,0.00,-
9045308191,SMP,1,0.00,0.00,0.00,0.00,-
9045316562,SMP,1,0.00,0.00,0.00,0.00,-
9045324915,SMP,1,0.00,0.00,0.00,0.00,-
9045333337,SMP,1,0.00,0.00,0.00,0.00,-
9045341544,SMP,1,0.00,0.00,0.00,0.00,-
9045349938,SMP,1,0.00,0.00,0.00,0.00,-
9045358300,SMP,1,0.00,0.00,0.00,0.00,-
9045366678,SMP,1,0.00,0.00,0.00,0.00,-
9045374893,SMP,1,0.00,0.00,0.00,0.00,-
9045383378,SMP,1,0.00,0.00,0.00,0.00,-
9045391662,SMP,1,0.00,0.00,0.00,0.00,-
9045399953,SMP,1,0.00,0.00,0.00,0.00,-
9045408279,SMP,1,0.00,0.00,0.00,0.00,-
9045416813,SMP,1,0.00,0.00,0.00,0.00,-
9045425052,SMP,1,0.00,0.00,0.00,0.00,-
9045433317,SMP,1,0.00,0.00,0.00,0.00,-
9045441682,SMP,1,0.00,0.00,0.00,0.00,-
9045450230,SMP,1,0.00,0.00,0.00,0.00,-
9045458562,SMP,1,0.00,0.00,0.00,0.00,-
9045466694,SMP,1,0.00,0.00,0.00,0.00,-
9045475021,SMP,1,0.00,0.00,0.00,0.00,-
9045483429,SMP,1,0.00,0.00,0.00,0.00,-
9045491820,SMP,1,0.00,0.00,0.00,0.00,-
9045500024,SMP,1,0.00,0.00,0.00,0.00,-
9045508385,SMP,1,0.00,0.00,0.00,0.00,-
9045516803,SMP,1,0.00,0.00,0.00,0.00,-
9045525054,SMP,1,0.00,0.00,0.00,0.00,-
9045533428,SMP,1,0.00,0.00,0.00,0.00,-
9045541903,SMP,1,0.00,0.00,0.00,0.00,-
9045550479,SMP,1,0.00,0.00,0.00,0.00,-
9045558571,SMP,1,0.00,0.00,0.00,0.00,-
9045566779,SMP,1,0.00,0.00,0.00,0.00,-
9045575143,SMP,1,0.00,0.00,0.00,0.00,-
9045583920,SMP,1,0.00,0.00,0.00,0.00,-
9045591792,SMP,1,0.00,0.00,0.00,0.00,-
9045600194,SMP,1,534.59,1150.61,534.59,1150.61,-
9045608546,SMP,1,478.82,1082.06,478.82,1082.06,-
9045617333,SMP,1,528.42,994.33,528.42,994.33,-
9045625199,SMP,1,279.07,1084.28,279.07,1084.28,-
9045633560,SMP,1,398.60,1075.38,398.60,1075.38,-
9045641906,SMP,1,409.19,1059.44,409.19,1059.44,-
9045650327,SMP,1,373.59,1019.55,373.59,1019.55,-
9045658584,SMP,1,387.14,998.10,387.14,998.10,-
9045666890,SMP,1,372.16,989.02,372.16,989.02,-
9045675520,SMP,1,392.43,989.04,392.43,989.04,-
9045683517,SMP,1,384.79,986.24,384.79,986.24,-
9045691931,SMP,1,393.62,983.70,393.62,983.70,-
9045700268,SMP,1,386.49,979.32,386.49,979.32,-
9045708688,SMP,1,382.64,978.43,382.64,978.43,-
9045716918,SMP,1,383.60,990.86,383.60,990.86,-
9045725278,SMP,1,384.30,968.02,384.30,968.02,-
9045733675,SMP,1,380.01,978.44,380.01,978.44,-
9045742069,SMP,1,382.12,973.27,382.12,973.27,-
9045750316,SMP,1,383.26,973.02,383.26,973.02,-
9045758711,SMP,1,383.51,973.61,383.51,973.61,-
9045767017,SMP,1,380.53,972.78,380.53,972.78,-
9045775445,SMP,1,379.48,974.08,379.48,974.08,-
9045783682,SMP,1,380.30,974.39,380.30,974.39,-
9045792060,SMP,1,380.05,974.76,380.05,974.76,-
9045800519,SMP,1,383.27,975.48,383.27,975.48,-
9045808666,SMP,1,378.92,974.37,378.92,974.37,-
9045817043,SMP,1,378.93,974.41,378.93,974.41,-
9045825432,SMP,1,383.25,973.20,383.25,973.20,-
9045833844,SMP,1,379.55,978.64,379.55,978.64,-
9045842016,SMP,1,381.17,982.33,381.17,982.33,-
9045850381,SMP,1,383.69,975.44,383.69,975.44,-
9045858770,SMP,1,0.00,0.00,0.00,0.00,-
9045867195,SMP,1,0.00,0.00,0.00,0.00,-
9045875441,SMP,1,601.03,769.55,601.03,769.55,-
9045883797,SMP,1,625.21,750.01,625.21,750.01,-
9045892186,SMP,1,708.64,685.39,708.64,685.39,-
9045900511,SMP,1,693.79,659.74,693.79,659.74,-
9045908727,SMP,1,701.94,658.19,701.94,658.19,-
9045917172,SMP,1,687.09,654.76,687.09,654.76,-
9045925546,SMP,1,691.67,652.14,691.67,652.14,-
9045933787,SMP,1,694.06,656.88,694.06,656.88,-
9045942249,SMP,1,702.13,656.99,702.13,656.99,-
9045950983,SMP,1,705.32,654.53,705.32,654.53,-
9045958936,SMP,1,701.22,642.16,701.22,642.16,-
9045967137,SMP,1,706.33,654.05,706.33,654.05,-
9045975509,SMP,1,712.28,653.64,712.28,653.64,-
9045985550,SMP,1,712.70,660.51,712.70,660.51,-
9045992363,SMP,1,707.08,650.92,707.08,650.92,-
9046000540,SMP,1,727.78,631.68,727.78,631.68,-
9046008912,SMP,1,734.73,640.76,734.73,640.76,-
9046017863,SMP,1,718.24,648.08,718.24,648.08,-
9046025689,SMP,1,734.17,652.30,734.17,652.30,-
9046033884,SMP,1,728.92,631.28,728.92,631.28,-
9046042264,SMP,1,728.95,636.53,728.95,636.53,-
9046050644,SMP,1,743.77,625.35,743.77,625.35,-
9046058933,SMP,1,744.50,640.33,744.50,640.33,-
9046067270,SMP,1,739.74,632.40,739.74,632.40,-
9046075651,SMP,1,755.41,626.47,755.41,626.47,-
9046084056,SMP,1,756.14,616.61,756.14,616.61,-
9046092307,SMP,1,748.25,623.62,748.25,623.62,-
9046100631,SMP,1,729.56,621.38,729.56,621.38,-
9046109074,SMP,1,742.53,612.52,742.53,612.52,-
9046117625,SMP,1,740.70,609.00,740.70,609.00,-
9046125667,SMP,1,750.05,605.86,750.05,605.86,-
9046134034,SMP,1,733.54,612.04,733.54,612.04,-
9046142393,SMP,1,742.41,605.76,742.41,605.76,-
9046151332,SMP,1,729.83,605.79,729.83,605.79,-
9046159004,SMP,1,736.86,599.10,736.86,599.10,-
9046167395,SMP,1,716.39,600.07,716.39,600.07,-
9046175798,SMP,1,718.37,599.26,718.37,599.26,-
9046184187,SMP,1,708.57,597.45,708.57,597.45,-
9046192427,SMP,1,730.60,571.74,730.60,571.74,-
9046200766,SMP,1,772.48,524.63,772.48,524.63,-
9046209161,SMP,1,743.27,430.43,743.27,430.43,-
9046218194,SMP,1,690.94,371.13,690.94,371.13,-
9046225811,SMP,1,693.21,372.06,693.21,372.06,-
9046234133,SMP,1,744.29,396.53,744.29,396.53,-
9046242550,SMP,1,753.57,401.63,753.57,401.63,-
9046250867,SMP,1,766.16,400.93,766.16,400.93,-
9046259179,SMP,1,624.39,377.85,624.39,377.85,-
9046267658,SMP,1,645.03,376.44,645.03,376.44,-
9046275887,SMP,1,792.18,422.50,792.18,422.50,-
9046284419,SMP,1,767.30,398.73,767.30,398.73,-
9046292550,SMP,1,804.84,417.29,804.84,417.29,-
9046300865,SMP,1,761.49,449.10,761.49,449.10,-
9046309271,SMP,1,657.71,425.93,657.71,425.93,-
9046317598,SMP,1,756.10,412.12,756.10,412.12,-
9046334292,SMP,1,742.52,400.05,742.52,400.05,-
9046342510,SMP,1,795.54,387.51,795.54,387.51,-
9046350936,SMP,1,797.70,397.87,797.70,397.87,-
9046359285,SMP,1,750.72,396.36,750.72,396.36,-
9046367742,SMP,1,800.24,405.60,800.24,405.60,-
9046375910,SMP,1,809.06,411.34,809.06,411.34,-
9046384841,SMP,1,819.36,408.50,819.36,408.50,-
9046392645,SMP,1,732.20,401.68,732.20,401.68,-
9046400989,SMP,1,742.73,420.74,742.73,420.74,-
9046409248,SMP,1,662.36,407.66,662.36,407.66,-
9046418188,SMP,1,723.42,400.67,723.42,400.67,-
9046426052,SMP,1,730.59,405.21,730.59,405.21,-
9046434419,SMP,1,723.95,407.97,723.95,407.97,-
9046442649,SMP,1,733.78,406.12,733.78,406.12,-
9046451026,SMP,1,708.71,395.32,708.71,395.32,-
9046459407,SMP,1,714.58,400.55,714.58,400.55,-
9046467592,SMP,1,657.13,392.96,657.13,392.96,-
9046476030,SMP,1,727.51,425.92,727.51,425.92,-
9046484380,SMP,1,723.68,386.56,723.68,386.56,-
9046492808,SMP,1,708.92,403.36,708.92,403.36,-
9046501026,SMP,1,699.86,390.73,699.86,390.73,-
9046509396,SMP,1,679.28,409.02,679.28,409.02,-
9046517934,SMP,1,720.75,425.32,720.75,425.32,-
9046526156,SMP,1,727.62,420.67,727.62,420.67,-
9046534457,SMP,1,681.20,417.18,681.20,417.18,-
9046542763,SMP,1,715.32,421.14,715.32,421.14,-
9046551288,SMP,1,739.54,429.11,739.54,429.11,-
9046559614,SMP,1,715.81,422.72,715.81,422.72,-
9046567775,SMP,1,701.73,417.91,701.73,417.91,-
9046576121,SMP,1,713.66,413.77,713.66,413.77,-
9046584554,SMP,1,742.84,410.30,742.84,410.30,-
9046592902,SMP,1,706.69,410.05,706.69,410.05,-
9046601136,SMP,1,693.07,406.58,693.07,406.58,-
9046609464,SMP,1,704.13,401.18,704.13,401.18,-
9046617925,SMP,1,722.65,392.09,722.65,392.09,-
9046626151,SMP,1,710.93,412.30,710.93,412.30,-
9046634542,SMP,1,712.91,402.59,712.91,402.59,-
9046642896,SMP,1,719.73,400.37,719.73,400.37,-
9046651621,SMP,1,720.88,394.57,720.88,394.57,-
9046659548,SMP,1,719.42,401.42,719.42,401.42,-
9046667919,SMP,1,717.76,411.94,717.76,411.94,-
9046676281,SMP,1,707.79,392.89,707.79,392.89,-
9046684657,SMP,1,707.36,397.38,707.36,397.38,-
9046692899,SMP,1,712.39,409.84,712.39,409.84,-
9046701251,SMP,1,708.45,411.19,708.45,411.19,-
9046709641,SMP,1,710.03,417.56,710.03,417.56,-
9046718159,SMP,1,696.16,411.56,696.16,411.56,-
9046726266,SMP,1,693.38,408.54,693.38,408.54,-
9046734606,SMP,1,712.21,408.55,712.21,408.55,-
9046743007,SMP,1,706.11,411.04,706.11,411.04,-
9046751310,SMP,1,712.15,409.07,712.15,409.07,-
9046759613,SMP,1,724.98,404.42,724.98,404.42,-
9046768008,SMP,1,698.60,408.31,698.60,408.31,-
9046776370,SMP,1,714.64,417.12,714.64,417.12,-
9046784653,SMP,1,715.83,403.71,715.83,403.71,-
9046793037,SMP,1,707.54,404.29,707.54,404.29,-
9046801474,SMP,1,712.05,400.71,712.05,400.71,-
9046809775,SMP,1,699.77,409.29,699.77,409.29,-
9046818723,SMP,1,724.18,398.60,724.18,398.60,-
9046826401,SMP,1,724.19,393.90,724.19,393.90,-
9046834763,SMP,1,716.47,418.59,716.47,418.59,-
9046843141,SMP,1,706.72,401.19,706.72,401.19,-
9046851581,SMP,1,703.00,397.69,703.00,397.69,-
9046859739,SMP,1,723.10,407.46,723.10,407.46,-
9046868165,SMP,1,717.88,392.40,717.88,392.40,-
9046876408,SMP,1,714.70,395.88,714.70,395.88,-
9046884795,SMP,1,716.06,393.45,716.06,393.45,-
9046893144,SMP,1,716.54,400.61,716.54,400.61,-
9046901549,SMP,1,716.92,399.86,716.92,399.86,-
9046909766,SMP,1,712.98,399.50,712.98,399.50,-
9046918259,SMP,1,717.54,400.97,717.54,400.97,-
9046926559,SMP,1,713.48,399.43,713.48,399.43,-
9046934899,SMP,1,720.61,404.46,720.61,404.46,-
9046943142,SMP,1,717.18,398.04,717.18,398.04,-
9046951557,SMP,1,711.39,398.39,711.39,398.39,-
9046959884,SMP,1,710.76,400.91,710.76,400.91,-
9046968279,SMP,1,711.49,405.98,711.49,405.98,-
9046976506,SMP,1,712.59,401.27,712.59,401.27,-
