subid,dot,dob,gender,hisp,ethnicity,english,numlang,parented,othered,premie,xcalib,ycalib,consent,age,agegroup,exclude
052212_1,5/22/12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,NaN,NaN,NaN
052212_10,5/22/12,2/15/08,1,2,5,6,1,3,3,1,0.47,0.95,1,4.27,4,0
052212_11,5/22/12,8/27/07,2,2,6,5,1,4,4,1,0.75,0.61,1,4.74,4,0
052212_12,5/22/12,1/5/08,2,2,5,6,1,6,4,1,0.85,0.7,1,4.38,4,0
052212_13,5/22/12,10/18/09,1,2,2,6,2,6,4,1,0.59,0.56,1,2.59,2,0
052212_14,5/22/12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,NaN,NaN,NaN
052212_2,5/22/12,12/6/09,2,2,6,3,2,5,4,1,2.65,6.52,1,2.46,2,5
052212_3,5/22/12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,NaN,NaN,NaN
052212_4,5/22/12,2/14/10,1,2,6,5,2,6,6,1,0.25,0.64,1,2.27,2,0
052212_5,5/22/12,12/26/07,2,1,6,4,1,3,3,1,0.39,0.35,0,4.41,4,0
052212_6,5/22/12,3/21/10,1,2,2,4,3,6,6,1,0.56,0.5,1,2.17,2,0
052212_7,5/22/12,12/30/08,1,2,5,6,3,3,6,2,1.03,2.24,1,3.39,3,0
052212_8,5/22/12,4/10/08,1,2,6,5,3,6,4,1,1.31,2.05,1,4.11,4,0
052212_9,5/22/12,8/27/07,1,2,6,4,2,1,4,1,0.65,1.58,1,4.74,4,4
052312_1,5/23/12,1/7/09,1,2,2,5,2,6,6,2,0.12,0.65,1,3.37,3,0
052312_10,5/23/12,2/5/08,1,2,6,5,3,3,3,1,0.91,0.43,1,4.3,4,0
052312_11,5/23/12,9/24/07,2,2,2,6,2,4,4,2,1.16,0.51,1,4.66,4,0
052312_12,5/23/12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,NaN,NaN,NaN
052312_13,5/23/12,7/20/08,1,1,6,5,2,4,5,1,7.42,1.83,1,3.84,3,0
052312_2,5/23/12,4/14/10,1,2,5,6,1,5,5,1,0.45,1.22,1,2.11,2,0
052312_3,5/23/12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,NaN,NaN,NaN
052312_4,5/23/12,8/16/07,2,2,6,6,1,4,4,1,0.96,1.61,1,4.77,4,0
052312_5,5/23/12,11/10/05,2,2,5,6,1,4,3,2,0.53,1.34,1,6.53,6,0
052312_6,5/23/12,5/31/08,2,2,5,6,1,6,5,1,0.3,0.4,1,3.98,3,0
052312_7,5/23/12,11/14/07,2,1,6,3,2,5,3,1,0.3,1.03,0,4.52,4,0
052312_8,5/23/12,8/30/06,1,2,5,6,1,5,3,1,1.09,1.2,1,5.73,5,0
052312_9,5/23/12,2/20/07,1,2,5,6,1,4,4,NaN,1.75,2.78,0,5.25,5,0
060512_1,6/5/12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,NaN,NaN,NaN
060512_10,6/5/12,9/6/06,1,1,NaN,5,2,5,3,1,1.17,0.81,1,5.75,5,0
060512_11,6/5/12,11/17/08,2,2,2,3,2,6,4,1,0.14,0.65,1,3.55,3,0
060512_2,6/5/12,6/18/10,1,2,6,6,2,6,4,1,4.43,3.2,1,1.97,1,0
060512_3,6/5/12,2/18/08,2,2,5,6,1,6,5,1,0.68,0.63,1,4.3,4,6
060512_4,6/5/12,6/13/05,1,2,5,6,1,4,4,1,0.3,1.28,1,6.98,6,0
060512_5,6/5/12,7/8/09,2,1,6,3,2,6,6,1,0.69,1.05,1,2.91,2,0
060512_6,6/5/12,9/17/07,2,2,5,6,1,6,6,1,0.37,0.95,1,4.72,4,0
060512_7,6/5/12,12/15/08,2,2,5,5,2,4,4,1,1.16,2.34,1,3.47,3,0
060512_8,6/5/12,8/11/09,2,1,5,6,1,6,4,1,1.39,0.56,1,2.82,2,0
060512_9,6/5/12,1/20/07,1,2,2,6,1,6,4,1,6.58,7.27,1,5.37,5,0
060612_1,6/6/12,12/22/07,1,2,5,6,1,4,4,1,0.55,0.7,1,4.46,4,0
060612_10,6/6/12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,NaN,NaN,NaN
060612_11,6/6/12,12/7/07,2,2,5,5,2,6,4,1,0.57,0.61,1,4.5,4,0
060612_12,6/6/12,8/1/07,1,2,5,6,1,6,6,1,1.03,0.67,0,4.85,4,0
060612_2,6/6/12,1/7/07,2,1,6,6,1,3,3,1,0.51,1.46,1,5.41,5,0
060612_3,6/6/12,6/4/10,2,2,5,6,1,6,4,1,0.59,0.83,0,2.01,2,0
060612_4,6/6/12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,NaN,NaN,NaN
060612_5,6/6/12,10/25/08,1,2,5,5,2,4,4,1,2.31,3.03,1,3.61,3,0
060612_6,6/6/12,7/25/08,2,2,5,6,1,6,6,1,1.4,2.39,1,3.87,3,0
060612_7,6/6/12,2/22/09,1,2,5,5,2,6,6,1,1.48,1.97,1,3.29,3,0
060612_8,6/6/12,8/6/10,1,2,5,6,2,6,3,1,3.59,2.68,0,1.83,1,0
060612_9,6/6/12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,NaN,NaN,NaN
061212_1,6/12/12,4/30/09,1,2,2,5,3,4,4,1,0.23,0.41,1,3.12,3,0
061212_10,6/12/12,7/31/08,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.1,1.36,1,3.87,3,0
061212_11,6/12/12,12/20/09,1,2,2,6,2,4,6,1,0.77,0.92,1,2.48,2,0
061212_12,6/12/12,9/28/09,2,1,5,6,1,5,4,1,2.62,0.89,1,2.7,2,0
061212_13,6/12/12,5/26/06,2,1,2,6,2,2,3,1,1.83,1.77,1,6.05,6,0
