trial_id,dataset,order,condition,target_image,distractor_image,target_side,distractor_label,target_label
2,pomper_saffran_2016,SwitchingCues-CN1A,1A,slide,crib,r,crib,slide
3,pomper_saffran_2016,SwitchingCues-CN1A,1A,knife,boot,l,boot,knife
4,pomper_saffran_2016,SwitchingCues-CN1A,1A,zipper,hammer,l,hammer,zipper
5,pomper_saffran_2016,SwitchingCues-CN1A,1A,flag,ladder,r,ladder,flag
6,pomper_saffran_2016,SwitchingCues-CN1A,1B,belt,slipper,r,slipper,belt
7,pomper_saffran_2016,SwitchingCues-CN1A,1B,tape,puzzle,l,puzzle,tape
8,pomper_saffran_2016,SwitchingCues-CN1A,1B,dress,glasses,r,glasses,dress
9,pomper_saffran_2016,SwitchingCues-CN1A,1B,pudding,chalk,l,chalk,pudding
10,pomper_saffran_2016,SwitchingCues-CN1A,2A,bucket,shorts,r,shorts,bucket
11,pomper_saffran_2016,SwitchingCues-CN1A,2A,sock,purse,r,purse,sock
12,pomper_saffran_2016,SwitchingCues-CN1A,2A,hose,shovel,l,shovel,hose
13,pomper_saffran_2016,SwitchingCues-CN1A,2A,glove,lamp,l,lamp,glove
14,pomper_saffran_2016,SwitchingCues-CN1A,2B,donut,can,r,can,donut
15,pomper_saffran_2016,SwitchingCues-CN1A,2B,bib,comb,l,comb,bib
16,pomper_saffran_2016,SwitchingCues-CN1A,2B,necklace,muffin,r,muffin,necklace
17,pomper_saffran_2016,SwitchingCues-CN1A,2B,scissors,plate,l,plate,scissors
2,pomper_saffran_2016,SwitchingCues-NC1A,1A,slide,crib,r,crib,slide
3,pomper_saffran_2016,SwitchingCues-NC1A,1A,knife,boot,l,boot,knife
4,pomper_saffran_2016,SwitchingCues-NC1A,1A,zipper,hammer,l,hammer,zipper
5,pomper_saffran_2016,SwitchingCues-NC1A,1A,flag,ladder,r,ladder,flag
6,pomper_saffran_2016,SwitchingCues-NC1A,1B,belt,slipper,r,slipper,belt
7,pomper_saffran_2016,SwitchingCues-NC1A,1B,tape,puzzle,l,puzzle,tape
8,pomper_saffran_2016,SwitchingCues-NC1A,1B,dress,glasses,r,glasses,dress
9,pomper_saffran_2016,SwitchingCues-NC1A,1B,pudding,chalk,l,chalk,pudding
10,pomper_saffran_2016,SwitchingCues-NC1A,2A,bucket,shorts,r,shorts,bucket
11,pomper_saffran_2016,SwitchingCues-NC1A,2A,sock,purse,r,purse,sock
12,pomper_saffran_2016,SwitchingCues-NC1A,2A,hose,shovel,l,shovel,hose
13,pomper_saffran_2016,SwitchingCues-NC1A,2A,glove,lamp,l,lamp,glove
14,pomper_saffran_2016,SwitchingCues-NC1A,2B,donut,can,r,can,donut
15,pomper_saffran_2016,SwitchingCues-NC1A,2B,bib,comb,l,comb,bib
16,pomper_saffran_2016,SwitchingCues-NC1A,2B,necklace,muffin,r,muffin,necklace
17,pomper_saffran_2016,SwitchingCues-NC1A,2B,scissors,plate,l,plate,scissors
2,pomper_saffran_2016,SwitchingCues-CN1B,1A,crib,slide,l,slide,crib
3,pomper_saffran_2016,SwitchingCues-CN1B,1A,boot,knife,r,knife,boot
4,pomper_saffran_2016,SwitchingCues-CN1B,1A,hammer,zipper,r,zipper,hammer
5,pomper_saffran_2016,SwitchingCues-CN1B,1A,ladder,flag,l,flag,ladder
6,pomper_saffran_2016,SwitchingCues-CN1B,1B,slipper,belt,l,belt,slipper
7,pomper_saffran_2016,SwitchingCues-CN1B,1B,puzzle,tape,r,tape,puzzle
8,pomper_saffran_2016,SwitchingCues-CN1B,1B,glasses,dress,l,dress,glasses
9,pomper_saffran_2016,SwitchingCues-CN1B,1B,chalk,pudding,r,pudding,chalk
10,pomper_saffran_2016,SwitchingCues-CN1B,2A,shorts,bucket,l,bucket,shorts
11,pomper_saffran_2016,SwitchingCues-CN1B,2A,purse,sock,l,sock,purse
12,pomper_saffran_2016,SwitchingCues-CN1B,2A,shovel,hose,r,hose,shovel
13,pomper_saffran_2016,SwitchingCues-CN1B,2A,lamp,glove,r,glove,lamp
14,pomper_saffran_2016,SwitchingCues-CN1B,2B,can,donut,l,donut,can
15,pomper_saffran_2016,SwitchingCues-CN1B,2B,comb,bib,r,bib,comb
16,pomper_saffran_2016,SwitchingCues-CN1B,2B,muffin,necklace,l,necklace,muffin
17,pomper_saffran_2016,SwitchingCues-CN1B,2B,plate,scissors,r,scissors,plate
2,pomper_saffran_2016,SwitchingCues-NC1B,1A,crib,slide,l,slide,crib
3,pomper_saffran_2016,SwitchingCues-NC1B,1A,boot,knife,r,knife,boot
4,pomper_saffran_2016,SwitchingCues-NC1B,1A,hammer,zipper,r,zipper,hammer
5,pomper_saffran_2016,SwitchingCues-NC1B,1A,ladder,flag,l,flag,ladder
6,pomper_saffran_2016,SwitchingCues-NC1B,1B,slipper,belt,l,belt,slipper
7,pomper_saffran_2016,SwitchingCues-NC1B,1B,puzzle,tape,r,tape,puzzle
8,pomper_saffran_2016,SwitchingCues-NC1B,1B,glasses,dress,l,dress,glasses
9,pomper_saffran_2016,SwitchingCues-NC1B,1B,chalk,pudding,r,pudding,chalk
10,pomper_saffran_2016,SwitchingCues-NC1B,2A,shorts,bucket,l,bucket,shorts
11,pomper_saffran_2016,SwitchingCues-NC1B,2A,purse,sock,l,sock,purse
12,pomper_saffran_2016,SwitchingCues-NC1B,2A,shovel,hose,r,hose,shovel
13,pomper_saffran_2016,SwitchingCues-NC1B,2A,lamp,glove,r,glove,lamp
14,pomper_saffran_2016,SwitchingCues-NC1B,2B,can,donut,l,donut,can
15,pomper_saffran_2016,SwitchingCues-NC1B,2B,comb,bib,r,bib,comb
16,pomper_saffran_2016,SwitchingCues-NC1B,2B,muffin,necklace,l,necklace,muffin
17,pomper_saffran_2016,SwitchingCues-NC1B,2B,plate,scissors,r,scissors,plate
2,pomper_saffran_2016,SwitchingCues-CN2A,1A,bucket,shorts,r,shorts,bucket
3,pomper_saffran_2016,SwitchingCues-CN2A,1A,sock,purse,r,purse,sock
4,pomper_saffran_2016,SwitchingCues-CN2A,1A,hose,shovel,l,shovel,hose
5,pomper_saffran_2016,SwitchingCues-CN2A,1A,glove,lamp,l,lamp,glove
6,pomper_saffran_2016,SwitchingCues-CN2A,1B,donut,can,r,can,donut
7,pomper_saffran_2016,SwitchingCues-CN2A,1B,bib,comb,l,comb,bib
8,pomper_saffran_2016,SwitchingCues-CN2A,1B,necklace,muffin,r,muffin,necklace
9,pomper_saffran_2016,SwitchingCues-CN2A,1B,scissors,plate,l,plate,scissors
10,pomper_saffran_2016,SwitchingCues-CN2A,2A,slide,crib,r,crib,slide
11,pomper_saffran_2016,SwitchingCues-CN2A,2A,knife,boot,l,boot,knife
12,pomper_saffran_2016,SwitchingCues-CN2A,2A,zipper,hammer,l,hammer,zipper
13,pomper_saffran_2016,SwitchingCues-CN2A,2A,flag,ladder,r,ladder,flag
14,pomper_saffran_2016,SwitchingCues-CN2A,2B,belt,slipper,r,slipper,belt
15,pomper_saffran_2016,SwitchingCues-CN2A,2B,tape,puzzle,l,puzzle,tape
16,pomper_saffran_2016,SwitchingCues-CN2A,2B,dress,glasses,r,glasses,dress
17,pomper_saffran_2016,SwitchingCues-CN2A,2B,pudding,chalk,l,chalk,pudding
2,pomper_saffran_2016,SwitchingCues-NC2A,1A,bucket,shorts,r,shorts,bucket
3,pomper_saffran_2016,SwitchingCues-NC2A,1A,sock,purse,r,purse,sock
4,pomper_saffran_2016,SwitchingCues-NC2A,1A,hose,shovel,l,shovel,hose
5,pomper_saffran_2016,SwitchingCues-NC2A,1A,glove,lamp,l,lamp,glove
6,pomper_saffran_2016,SwitchingCues-NC2A,1B,donut,can,r,can,donut
7,pomper_saffran_2016,SwitchingCues-NC2A,1B,bib,comb,l,comb,bib
8,pomper_saffran_2016,SwitchingCues-NC2A,1B,necklace,muffin,r,muffin,necklace
9,pomper_saffran_2016,SwitchingCues-NC2A,1B,scissors,plate,l,plate,scissors
10,pomper_saffran_2016,SwitchingCues-NC2A,2A,slide,crib,r,crib,slide
11,pomper_saffran_2016,SwitchingCues-NC2A,2A,knife,boot,l,boot,knife
12,pomper_saffran_2016,SwitchingCues-NC2A,2A,zipper,hammer,l,hammer,zipper
13,pomper_saffran_2016,SwitchingCues-NC2A,2A,flag,ladder,r,ladder,flag
14,pomper_saffran_2016,SwitchingCues-NC2A,2B,belt,slipper,r,slipper,belt
15,pomper_saffran_2016,SwitchingCues-NC2A,2B,tape,puzzle,l,puzzle,tape
16,pomper_saffran_2016,SwitchingCues-NC2A,2B,dress,glasses,r,glasses,dress
17,pomper_saffran_2016,SwitchingCues-NC2A,2B,pudding,chalk,l,chalk,pudding
2,pomper_saffran_2016,SwitchingCues-CN2B,1A,shorts,bucket,l,bucket,shorts
3,pomper_saffran_2016,SwitchingCues-CN2B,1A,purse,sock,l,sock,purse
4,pomper_saffran_2016,SwitchingCues-CN2B,1A,shovel,hose,r,hose,shovel
5,pomper_saffran_2016,SwitchingCues-CN2B,1A,lamp,glove,r,glove,lamp
6,pomper_saffran_2016,SwitchingCues-CN2B,1B,can,donut,l,donut,can
7,pomper_saffran_2016,SwitchingCues-CN2B,1B,comb,bib,r,bib,comb
8,pomper_saffran_2016,SwitchingCues-CN2B,1B,muffin,necklace,l,necklace,muffin
9,pomper_saffran_2016,SwitchingCues-CN2B,1B,plate,scissors,r,scissors,plate
10,pomper_saffran_2016,SwitchingCues-CN2B,2A,crib,slide,l,slide,crib
11,pomper_saffran_2016,SwitchingCues-CN2B,2A,boot,knife,r,knife,boot
12,pomper_saffran_2016,SwitchingCues-CN2B,2A,hammer,zipper,r,zipper,hammer
13,pomper_saffran_2016,SwitchingCues-CN2B,2A,ladder,flag,l,flag,ladder
14,pomper_saffran_2016,SwitchingCues-CN2B,2B,slipper,belt,l,belt,slipper
15,pomper_saffran_2016,SwitchingCues-CN2B,2B,puzzle,tape,r,tape,puzzle
16,pomper_saffran_2016,SwitchingCues-CN2B,2B,glasses,dress,l,dress,glasses
17,pomper_saffran_2016,SwitchingCues-CN2B,2B,chalk,pudding,r,pudding,chalk
2,pomper_saffran_2016,SwitchingCues-NC2B,1A,shorts,bucket,l,bucket,shorts
3,pomper_saffran_2016,SwitchingCues-NC2B,1A,purse,sock,l,sock,purse
4,pomper_saffran_2016,SwitchingCues-NC2B,1A,shovel,hose,r,hose,shovel
5,pomper_saffran_2016,SwitchingCues-NC2B,1A,lamp,glove,r,glove,lamp
6,pomper_saffran_2016,SwitchingCues-NC2B,1B,can,donut,l,donut,can
7,pomper_saffran_2016,SwitchingCues-NC2B,1B,comb,bib,r,bib,comb
8,pomper_saffran_2016,SwitchingCues-NC2B,1B,muffin,necklace,l,necklace,muffin
9,pomper_saffran_2016,SwitchingCues-NC2B,1B,plate,scissors,r,scissors,plate
10,pomper_saffran_2016,SwitchingCues-NC2B,2A,crib,slide,l,slide,crib
